60 61 62 64
62 64 60 61
2 32 45 59
2 32 59 45
2 45 32 59
2 45 59 32
32 2 45 59
32 59 45 2
45 2 32 59
45 59 32 2
59 32 2 45
59 32 45 2
59 45 2 32
59 45 32 2
3 17 31 44
3 17 44 31
3 31 17 44
3 31 44 17
3 44 17 31
3 44 31 17
17 3 31 44
17 3 44 31
17 31 3 44
17 31 44 3
17 44 3 31
17 44 31 3
31 3 17 44
31 3 44 17
31 17 3 44
31 17 44 3
31 44 3 17
31 44 17 3
44 3 17 31
44 3 31 17
44 17 3 31
44 17 31 3
44 31 3 17
44 31 17 3
14 5 43 59
14 5 59 43
43 59 5 14
59 43 5 14
7 22 32 52
7 52 32 22
22 7 32 52
22 7 52 32
22 32 7 52
22 32 52 7
32 22 7 52
32 52 7 22
52 7 22 32
52 7 32 22
52 32 7 22
52 32 22 7
9 32 22 42
9 32 42 22
9 42 22 32
9 42 32 22
22 32 9 42
22 32 42 9
22 42 9 32
22 42 32 9
32 9 42 22
32 22 42 9
42 9 32 22
42 22 32 9
9 25 38 56
9 56 38 25
25 9 38 56
25 9 56 38
25 38 9 56
25 38 56 9
38 25 9 56
38 56 9 25
56 9 25 38
56 9 38 25
56 38 9 25
56 38 25 9
13 28 40 57
13 28 57 40
13 40 28 57
13 40 57 28
28 13 40 57
28 57 40 13
40 13 28 57
40 57 28 13
57 28 13 40
57 28 40 13
57 40 13 28
57 40 28 13
15 28 39 53
15 28 53 39
15 39 28 53
15 39 53 28
28 15 39 53
28 53 39 15
39 15 28 53
39 53 28 15
53 28 15 39
53 28 39 15
53 39 15 28
53 39 28 15
15 30 44 59
15 30 59 44
44 59 30 15
59 44 30 15
16 30 43 58
16 30 58 43
16 43 30 58
16 43 58 30
30 16 43 58
30 58 43 16
43 16 30 58
43 58 30 16
58 30 16 43
58 30 43 16
58 43 16 30
58 43 30 16
18 31 43 57
18 31 57 43
18 43 31 57
18 43 57 31
31 18 43 57
31 57 43 18
43 18 31 57
43 57 31 18
57 31 18 43
57 31 43 18
57 43 18 31
57 43 31 18
18 32 45 59
18 32 59 45
18 45 32 59
18 45 59 32
32 18 45 59
32 59 45 18
45 18 32 59
45 59 32 18
59 32 18 45
59 32 45 18
59 45 18 32
59 45 32 18
19 32 44 58
19 32 58 44
19 44 32 58
19 44 58 32
32 19 44 58
32 58 44 19
44 19 32 58
44 58 32 19
58 32 19 44
58 32 44 19
58 44 19 32
58 44 32 19
38 25 56 9
30 15 59 44
43 59 14 5
32 52 22 7
28 53 15 39
44 19 58 32
7 22 52 32
5 14 43 59
39 53 15 28
44 59 15 30
31 57 18 43
43 58 16 30
43 57 18 31
32 59 2 45
43 18 57 31
5 14 59 43
45 18 59 32
45 59 2 32
28 15 53 39
40 57 13 28
43 16 58 30
45 2 59 32
9 25 56 38
40 13 57 28
32 2 59 45
30 58 16 43
38 56 25 9
32 9 22 42
32 18 59 45
31 18 57 43
30 15 44 59
32 19 58 44
42 9 22 32
44 58 19 32
32 59 18 45
39 15 53 28
28 57 13 40
9 56 25 38
32 22 9 42
59 44 15 30
30 16 58 43
59 43 14 5
45 59 18 32
32 22 52 7
32 58 19 44
7 52 22 32
28 13 57 40
42 22 9 32
