60 61 62 64
62 64 60 61
49 50 51 52
49 50 52 53
49 50 53 54
49 50 54 56
49 50 56 57
49 50 57 58
49 50 58 59
50 51 52 53
50 51 53 54
50 51 54 56
50 51 56 57
50 51 57 58
50 51 58 59
51 52 53 54
51 52 54 56
51 52 56 57
51 52 57 58
51 52 58 59
52 53 54 56
52 53 56 57
52 53 57 58
52 53 58 59
53 54 56 57
53 54 57 58
53 54 58 59
54 56 57 58
54 56 58 59
56 57 58 59
51 52 49 50
52 53 49 50
53 54 49 50
54 56 49 50
56 57 49 50
57 58 49 50
58 59 49 50
52 53 50 51
53 54 50 51
54 56 50 51
56 57 50 51
57 58 50 51
58 59 50 51
53 54 51 52
54 56 51 52
56 57 51 52
57 58 51 52
58 59 51 52
54 56 52 53
56 57 52 53
57 58 52 53
58 59 52 53
56 57 53 54
57 58 53 54
58 59 53 54
57 58 54 56
58 59 54 56
58 59 56 57
