60 61 62 64
62 64 60 61
36 37 38 39
36 37 39 40
36 37 40 42
36 37 42 43
36 37 43 44
36 37 44 45
36 37 45 46
37 38 39 40
37 38 40 42
37 38 42 43
37 38 43 44
37 38 44 45
37 38 45 46
38 39 40 42
38 39 42 43
38 39 43 44
38 39 44 45
38 39 45 46
39 40 42 43
39 40 43 44
39 40 44 45
39 40 45 46
40 42 43 44
40 42 44 45
40 42 45 46
42 43 44 45
42 43 45 46
43 44 45 46
38 39 36 37
39 40 36 37
40 42 36 37
42 43 36 37
43 44 36 37
44 45 36 37
45 46 36 37
39 40 37 38
40 42 37 38
42 43 37 38
43 44 37 38
44 45 37 38
45 46 37 38
40 42 38 39
42 43 38 39
43 44 38 39
44 45 38 39
45 46 38 39
42 43 39 40
43 44 39 40
44 45 39 40
45 46 39 40
43 44 40 42
44 45 40 42
45 46 40 42
44 45 42 43
45 46 42 43
45 46 43 44
