60 61 62 64
62 64 60 61
1 2 3 4
1 2 4 5
1 2 5 6
1 2 6 7
1 2 7 9
1 2 9 10
1 2 10 11
2 3 4 5
2 3 5 6
2 3 6 7
2 3 7 9
2 3 9 10
2 3 10 11
3 4 5 6
3 4 6 7
3 4 7 9
3 4 9 10
3 4 10 11
4 5 6 7
4 5 7 9
4 5 9 10
4 5 10 11
5 6 7 9
5 6 9 10
5 6 10 11
6 7 9 10
6 7 10 11
7 9 10 11
3 4 1 2
4 5 1 2
5 6 1 2
6 7 1 2
7 9 1 2
9 10 1 2
10 11 1 2
4 5 2 3
5 6 2 3
6 7 2 3
7 9 2 3
9 10 2 3
10 11 2 3
5 6 3 4
6 7 3 4
7 9 3 4
9 10 3 4
10 11 3 4
6 7 4 5
7 9 4 5
9 10 4 5
10 11 4 5
7 9 5 6
9 10 5 6
10 11 5 6
9 10 6 7
10 11 6 7
10 11 7 9
