60 61 62 64
62 64 60 61
25 26 27 28
25 26 28 29
25 26 29 30
25 26 30 31
25 26 31 32
25 26 32 33
25 26 33 34
26 27 28 29
26 27 29 30
26 27 30 31
26 27 31 32
26 27 32 33
26 27 33 34
27 28 29 30
27 28 30 31
27 28 31 32
27 28 32 33
27 28 33 34
28 29 30 31
28 29 31 32
28 29 32 33
28 29 33 34
29 30 31 32
29 30 32 33
29 30 33 34
30 31 32 33
30 31 33 34
31 32 33 34
27 28 25 26
28 29 25 26
29 30 25 26
30 31 25 26
31 32 25 26
32 33 25 26
33 34 25 26
28 29 26 27
29 30 26 27
30 31 26 27
31 32 26 27
32 33 26 27
33 34 26 27
29 30 27 28
30 31 27 28
31 32 27 28
32 33 27 28
33 34 27 28
30 31 28 29
31 32 28 29
32 33 28 29
33 34 28 29
31 32 29 30
32 33 29 30
33 34 29 30
32 33 30 31
33 34 30 31
33 34 31 32
