60 61 62 64
62 64 60 61
13 14 15 16
13 14 16 17
13 14 17 18
13 14 18 19
13 14 19 20
13 14 20 21
13 14 21 22
14 15 16 17
14 15 17 18
14 15 18 19
14 15 19 20
14 15 20 21
14 15 21 22
15 16 17 18
15 16 18 19
15 16 19 20
15 16 20 21
15 16 21 22
16 17 18 19
16 17 19 20
16 17 20 21
16 17 21 22
17 18 19 20
17 18 20 21
17 18 21 22
18 19 20 21
18 19 21 22
19 20 21 22
15 16 13 14
16 17 13 14
17 18 13 14
18 19 13 14
19 20 13 14
20 21 13 14
21 22 13 14
16 17 14 15
17 18 14 15
18 19 14 15
19 20 14 15
20 21 14 15
21 22 14 15
17 18 15 16
18 19 15 16
19 20 15 16
20 21 15 16
21 22 15 16
18 19 16 17
19 20 16 17
20 21 16 17
21 22 16 17
19 20 17 18
20 21 17 18
21 22 17 18
20 21 18 19
21 22 18 19
21 22 19 20
