quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
1_4_2_3,21.469,0.205,21.969,-0.109,0.028,-0.208,2.839,0.028,3.062,1,4,2,3
2_3_1_4,-151.48,0.685,-152.032,0.224,0.083,0.324,2.735,0.023,2.78,2,3,1,4
2_5_3_4,-521.702,0.411,-526.468,-1.083,0.084,-1.367,2.09,0.016,2.087,2,5,3,4
3_4_2_5,-163.92,0.456,-169.187,0.084,0.042,0.085,2.088,0.015,2.082,3,4,2,5
3_6_4_5,48.208,0.473,46.062,-0.381,0.052,-0.555,2.375,0.021,2.33,3,6,4,5
4_5_3_6,-409.141,0.461,-412.375,-1.442,0.126,-1.64,2.412,0.009,2.364,4,5,3,6
4_7_5_6,-153.239,0.271,-156.812,-0.769,0.079,-0.942,2.669,0.018,2.747,4,7,5,6
5_6_4_7,-309.75,0.446,-313.188,-0.447,0.137,-0.604,2.583,0.015,2.552,5,6,4,7
5_9_6_7,-84.794,0.247,-87.156,-0.167,0.043,-0.283,2.949,0.013,2.846,5,9,6,7
60_61_62_64,-2.337,0.557,-3.156,0.005,0.024,-0.003,201.807,2.802,204.475,60,61,62,64
62_64_60_61,-4.027,0.788,-4.094,0.0,0.006,-0.0,206.024,1.245,204.192,62,64,60,61
6_10_7_9,-32.094,0.267,-35.594,-0.215,0.027,-0.29,3.842,0.032,3.971,6,10,7,9
6_7_5_9,-683.909,0.416,-687.812,-0.551,0.076,-0.733,3.063,0.017,3.064,6,7,5,9
7_11_9_10,-12.217,0.335,-15.532,-0.342,0.022,-0.429,3.318,0.05,3.258,7,11,9,10
7_9_6_10,-543.66,0.366,-545.782,-0.359,0.03,-0.45,3.774,0.026,3.835,7,9,6,10
9_10_7_11,-279.787,0.527,-281.032,-0.244,0.018,-0.304,3.27,0.062,3.237,9,10,7,11
