quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
10_11_1_2,4.841,1.233,4.625,-0.797,0.062,-0.805,-0.013,0.016,-0.012,10,11,1,2
10_11_2_3,126.284,0.171,126.5,-0.764,0.024,-0.751,-0.089,0.001,-0.066,10,11,2,3
10_11_3_4,-48.106,0.921,-47.969,-0.634,0.023,-0.63,-0.002,0.057,-0.027,10,11,3,4
10_11_4_5,24.745,1.183,23.75,-0.912,0.032,-0.918,-0.147,0.061,-0.165,10,11,4,5
10_11_5_6,28.336,0.25,28.156,-0.745,0.039,-0.79,-0.083,0.016,-0.065,10,11,5,6
10_11_6_7,-20.147,1.213,-20.5,-0.531,0.035,-0.579,-0.054,0.066,-0.046,10,11,6,7
10_11_7_9,-275.998,0.631,-275.875,-0.341,0.034,-0.353,-0.92,0.034,-0.918,10,11,7,9
1_2_10_11,80.714,0.641,80.469,0.176,0.03,0.161,-0.004,0.01,-0.001,1,2,10,11
1_2_3_4,-44.658,0.08,-44.5,-0.791,0.228,-0.726,-0.175,0.004,-0.186,1,2,3,4
1_2_4_5,-22.519,0.64,-21.718,-0.152,0.153,-0.171,-0.08,0.008,-0.088,1,2,4,5
1_2_5_6,87.86,0.463,87.876,0.096,0.081,0.032,-0.015,0.007,-0.023,1,2,5,6
1_2_6_7,-177.214,0.102,-177.062,0.139,0.054,0.154,-0.006,0.001,-0.004,1,2,6,7
1_2_7_9,66.212,0.065,66.406,0.161,0.006,0.128,-0.031,0.002,-0.035,1,2,7,9
1_2_9_10,-4.447,0.086,-4.187,0.133,0.04,0.132,-0.01,0.001,-0.006,1,2,9,10
2_3_10_11,81.781,0.286,81.875,-0.367,0.08,-0.388,-0.064,0.006,-0.075,2,3,10,11
2_3_4_5,-21.415,0.855,-21.156,-2.39,0.218,-2.39,-0.284,0.021,-0.268,2,3,4,5
2_3_5_6,81.37,1.155,80.656,-0.966,0.064,-0.953,-0.16,0.021,-0.158,2,3,5,6
2_3_6_7,-175.822,0.216,-175.375,-0.647,0.013,-0.607,-0.024,0.004,-0.028,2,3,6,7
2_3_7_9,65.266,0.264,64.625,-0.424,0.034,-0.399,-0.036,0.003,-0.036,2,3,7,9
2_3_9_10,-2.745,1.131,-3.062,-0.268,0.051,-0.309,-0.036,0.018,-0.032,2,3,9,10
3_4_10_11,79.978,0.461,81.031,-0.16,0.118,-0.221,-0.03,0.007,-0.03,3,4,10,11
