quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
1_4_2_3,64.521,0.44,63.594,-1.533,0.198,-1.585,1.378,0.012,1.348,1,4,2,3
2_3_1_4,58.505,0.379,59.0,-1.378,0.221,-1.491,1.378,0.016,1.374,2,3,1,4
2_5_3_4,-416.569,0.706,-423.063,-0.519,0.291,-0.601,1.058,0.009,1.052,2,5,3,4
3_4_2_5,-114.007,0.494,-115.656,-3.045,0.437,-3.684,1.036,0.008,1.044,3,4,2,5
3_6_4_5,-292.553,0.475,-292.469,-0.713,0.151,-0.956,1.073,0.006,1.09,3,6,4,5
4_5_3_6,-480.31,0.208,-484.375,-1.425,0.362,-1.796,1.113,0.006,1.114,4,5,3,6
4_7_5_6,-83.543,0.535,-86.688,-0.469,0.267,-0.921,1.37,0.007,1.364,4,7,5,6
5_6_4_7,-588.25,0.502,-589.468,-1.092,0.195,-1.117,1.381,0.008,1.4,5,6,4,7
5_9_6_7,-62.168,0.62,-67.375,-0.63,0.257,-0.913,1.722,0.008,1.716,5,9,6,7
60_61_62_64,12.437,1.532,14.188,0.003,0.012,0.003,100.668,1.94,99.318,60,61,62,64
62_64_60_61,11.382,0.558,13.437,0.001,0.017,0.006,100.694,1.489,98.976,62,64,60,61
6_10_7_9,-68.49,0.466,-70.844,-0.808,0.103,-0.948,2.16,0.016,2.205,6,10,7,9
6_7_5_9,-684.144,0.369,-688.469,-1.007,0.192,-1.262,1.73,0.008,1.7,6,7,5,9
7_11_9_10,23.724,0.56,18.875,-0.537,0.041,-0.7,2.06,0.052,2.05,7,11,9,10
7_9_6_10,-637.736,0.87,-641.125,-0.789,0.17,-0.976,2.158,0.012,2.178,7,9,6,10
9_10_7_11,-516.43,0.481,-520.188,-1.096,0.086,-1.188,2.019,0.02,2.039,9,10,7,11
