quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
36_39_37_38,0.507,0.84,1.25,-0.226,0.04,-0.339,2.125,0.101,2.128,36,39,37,38
37_38_36_39,70.866,0.641,68.0,-0.752,0.223,-0.909,2.102,0.035,1.958,37,38,36,39
37_40_38_39,-301.698,0.477,-308.875,-0.458,0.109,-0.729,1.291,0.011,1.288,37,40,38,39
38_39_37_40,-157.792,0.314,-159.25,-0.61,0.173,-0.839,1.244,0.009,1.252,38,39,37,40
38_42_39_40,-274.372,0.715,-279.344,-0.913,0.184,-1.145,1.985,0.013,1.973,38,42,39,40
39_40_38_42,-430.464,1.118,-434.968,-0.612,0.165,-0.919,1.961,0.03,1.978,39,40,38,42
39_43_40_42,-17.8,0.61,-22.094,-0.777,0.186,-1.167,1.685,0.012,1.671,39,43,40,42
40_42_39_43,-311.072,0.701,-313.187,-1.051,0.174,-1.286,1.68,0.014,1.647,40,42,39,43
40_44_42_43,-78.375,0.613,-77.312,-0.938,0.17,-1.197,1.531,0.02,1.561,40,44,42,43
42_43_40_44,-614.486,0.47,-614.312,-0.868,0.181,-1.288,1.556,0.008,1.582,42,43,40,44
42_45_43_44,-0.155,0.532,-2.5,-0.736,0.08,-1.008,1.906,0.031,1.799,42,45,43,44
43_44_42_45,-437.776,0.516,-440.312,-0.817,0.124,-1.048,1.885,0.008,1.882,43,44,42,45
43_46_44_45,3.039,0.221,-1.375,-0.814,0.095,-1.052,1.666,0.009,1.688,43,46,44,45
44_45_43_46,-592.762,0.469,-598.469,-0.716,0.111,-0.892,1.609,0.009,1.64,44,45,43,46
60_61_62_64,8.838,0.617,10.25,0.002,0.002,0.005,101.535,0.907,100.199,60,61,62,64
62_64_60_61,6.411,0.954,9.594,0.004,0.004,0.007,103.54,1.272,100.239,62,64,60,61
