quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
25_28_26_27,-56.579,1.511,-56.5,0.022,0.144,-0.133,1.475,0.043,1.485,25,28,26,27
26_27_25_28,-27.228,0.457,-26.782,-0.458,0.208,-0.566,1.494,0.014,1.492,26,27,25,28
26_29_27_28,-423.227,0.404,-426.718,-0.566,0.133,-0.742,1.478,0.012,1.486,26,29,27,28
27_28_26_29,-142.019,0.73,-148.282,-0.766,0.203,-0.938,1.471,0.016,1.48,27,28,26,29
27_30_28_29,42.713,0.656,39.594,-1.225,0.086,-1.482,1.432,0.029,1.43,27,30,28,29
28_29_27_30,-126.891,0.875,-131.406,-1.013,0.157,-1.262,1.43,0.019,1.424,28,29,27,30
28_31_29_30,-22.213,0.338,-27.062,-1.098,0.214,-1.228,1.524,0.005,1.545,28,31,29,30
29_30_28_31,-154.318,0.571,-158.218,-1.156,0.255,-1.373,1.532,0.011,1.524,29,30,28,31
29_32_30_31,-146.989,0.329,-149.406,-0.443,0.159,-0.597,1.084,0.008,1.086,29,32,30,31
30_31_29_32,-653.7,0.715,-659.688,-1.039,0.239,-1.41,1.097,0.017,1.072,30,31,29,32
30_33_31_32,-54.394,0.447,-58.282,-0.319,0.085,-0.558,1.839,0.013,1.824,30,33,31,32
31_32_30_33,-665.778,0.35,-665.312,-0.699,0.115,-1.003,1.847,0.007,1.862,31,32,30,33
31_34_32_33,-16.02,0.757,-17.875,-0.691,0.096,-0.88,1.101,0.021,1.098,31,34,32,33
32_33_31_34,-595.695,1.035,-602.594,-0.764,0.071,-0.872,1.104,0.026,1.09,32,33,31,34
60_61_62_64,20.488,4.032,21.875,-0.008,0.027,-0.004,95.215,4.271,96.35,60,61,62,64
62_64_60_61,20.001,0.708,19.062,-0.001,0.009,-0.002,96.898,0.821,98.176,62,64,60,61
