quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
25_26_27_28,-25.417,0.849,-25.562,-0.21,0.107,-0.277,-0.514,0.028,-0.498,25,26,27,28
25_26_28_29,181.946,0.572,182.094,0.048,0.074,-0.026,-0.156,0.019,-0.154,25,26,28,29
25_26_29_30,95.388,1.19,95.282,0.095,0.069,0.005,-0.05,0.039,-0.059,25,26,29,30
25_26_30_31,-66.645,0.372,-66.625,-0.064,0.052,-0.25,-0.024,0.004,-0.042,25,26,30,31
25_26_31_32,-84.664,0.55,-83.781,-0.059,0.076,-0.204,-0.002,0.007,0.011,25,26,31,32
25_26_32_33,-38.467,0.313,-37.656,-0.07,0.062,-0.204,0.005,0.004,0.001,25,26,32,33
25_26_33_34,37.209,1.208,36.687,0.615,0.028,0.484,-0.001,0.043,-0.024,25,26,33,34
26_27_28_29,188.377,0.685,188.281,-0.516,0.121,-0.567,-0.541,0.01,-0.527,26,27,28,29
26_27_29_30,91.272,0.728,91.625,0.354,0.034,0.279,-0.108,0.022,-0.117,26,27,29,30
26_27_30_31,-63.198,0.348,-63.438,-0.281,0.131,-0.381,-0.037,0.005,-0.034,26,27,30,31
26_27_31_32,-87.678,0.362,-88.094,-0.17,0.123,-0.323,-0.026,0.005,-0.012,26,27,31,32
26_27_32_33,-29.383,1.504,-28.188,-0.197,0.132,-0.36,-0.007,0.019,-0.005,26,27,32,33
26_27_33_34,35.325,0.473,36.406,0.717,0.085,0.538,-0.003,0.013,-0.026,26,27,33,34
27_28_25_26,29.135,0.789,29.844,-0.619,0.216,-0.752,-0.584,0.018,-0.58,27,28,25,26
27_28_29_30,91.272,0.638,91.625,-0.055,0.187,-0.077,-0.491,0.01,-0.488,27,28,29,30
27_28_30_31,-62.612,0.871,-62.688,0.254,0.176,0.154,-0.065,0.012,-0.046,27,28,30,31
27_28_31_32,-91.631,0.839,-92.032,0.27,0.174,0.163,-0.05,0.011,-0.016,27,28,31,32
27_28_32_33,-24.911,0.408,-25.094,0.268,0.185,0.127,-0.021,0.005,0.01,27,28,32,33
27_28_33_34,32.717,0.555,32.094,0.234,0.065,0.154,-0.0,0.014,0.008,27,28,33,34
28_29_25_26,27.675,0.347,26.656,-1.306,0.15,-1.693,-0.098,0.006,-0.111,28,29,25,26
28_29_26_27,63.812,0.417,63.126,-1.248,0.178,-1.652,-0.558,0.006,-0.556,28,29,26,27
28_29_30_31,-61.602,0.385,-60.719,-0.859,0.102,-1.076,-0.386,0.011,-0.442,28,29,30,31
28_29_31_32,-94.11,0.738,-95.312,-0.852,0.091,-1.037,-0.114,0.01,-0.106,28,29,31,32
28_29_32_33,-20.904,0.505,-18.156,-0.806,0.093,-1.022,-0.055,0.007,-0.058,28,29,32,33
28_29_33_34,30.253,0.5,32.187,-0.091,0.074,-0.122,0.001,0.012,0.08,28,29,33,34
29_30_25_26,25.932,0.306,25.438,-0.754,0.381,-0.784,-0.056,0.005,-0.054,29,30,25,26
29_30_26_27,52.997,0.815,52.719,-0.728,0.373,-0.802,-0.091,0.013,-0.086,29,30,26,27
29_30_27_28,25.593,1.671,25.812,-1.005,0.357,-1.176,-0.501,0.028,-0.485,29,30,27,28
29_30_31_32,-92.774,0.388,-92.219,-1.091,0.218,-1.326,-0.717,0.007,-0.674,29,30,31,32
29_30_32_33,-13.694,0.302,-14.219,0.076,0.252,-0.098,-0.082,0.004,-0.103,29,30,32,33
29_30_33_34,29.936,0.264,31.531,0.229,0.232,0.088,-0.055,0.004,-0.075,29,30,33,34
30_31_25_26,28.336,1.364,29.094,-1.285,0.233,-1.641,0.022,0.024,0.018,30,31,25,26
30_31_26_27,49.169,0.452,47.562,-1.38,0.252,-1.68,-0.011,0.01,0.002,30,31,26,27
30_31_27_28,19.398,0.839,19.531,-1.208,0.263,-1.516,-0.105,0.016,-0.1,30,31,27,28
30_31_28_29,142.562,0.291,141.968,-0.822,0.25,-1.163,-0.383,0.004,-0.365,30,31,28,29
30_31_32_33,-2.176,1.168,-1.843,-1.372,0.219,-1.73,-0.274,0.022,-0.294,30,31,32,33
30_31_33_34,27.975,0.283,29.563,-0.386,0.103,-0.573,-0.087,0.005,-0.095,30,31,33,34
31_32_25_26,30.607,0.403,31.531,-0.506,0.125,-0.441,0.011,0.007,0.015,31,32,25,26
31_32_26_27,43.476,0.309,43.625,-0.799,0.193,-0.931,-0.048,0.005,-0.037,31,32,26,27
31_32_27_28,15.786,0.324,15.688,-0.874,0.199,-1.146,-0.073,0.005,-0.06,31,32,27,28
31_32_28_29,138.444,0.239,139.062,-0.868,0.211,-1.014,-0.158,0.005,-0.188,31,32,28,29
31_32_29_30,80.173,0.359,80.656,-0.475,0.191,-0.785,-0.718,0.005,-0.698,31,32,29,30
31_32_33_34,43.341,0.716,43.625,-0.682,0.161,-0.814,-0.723,0.013,-0.732,31,32,33,34
32_33_25_26,29.803,0.328,30.125,-1.333,0.088,-1.485,-0.008,0.005,-0.01,32,33,25,26
32_33_26_27,39.573,0.397,39.782,-1.537,0.096,-1.761,0.011,0.006,0.007,32,33,26,27
32_33_27_28,12.272,0.305,11.75,-1.442,0.089,-1.676,-0.005,0.004,-0.006,32,33,27,28
32_33_28_29,137.211,0.221,136.719,-1.397,0.088,-1.682,-0.012,0.003,0.03,32,33,28,29
32_33_29_30,74.034,0.876,72.969,-1.397,0.078,-1.652,-0.097,0.012,-0.115,32,33,29,30
32_33_30_31,-9.951,1.041,-10.094,-0.43,0.099,-0.562,-0.282,0.027,-0.262,32,33,30,31
33_34_25_26,29.331,1.591,29.563,-0.181,0.13,-0.171,0.009,0.021,0.008,33,34,25,26
33_34_26_27,35.533,1.256,35.094,-0.445,0.085,-0.442,0.011,0.032,-0.014,33,34,26,27
