quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
10_11_1_2,13.6,0.536,13.157,-0.359,0.048,-0.319,0.012,0.008,0.036,10,11,1,2
10_11_2_3,154.676,0.627,154.25,-0.495,0.037,-0.553,0.076,0.035,0.065,10,11,2,3
10_11_3_4,41.956,0.762,42.218,-0.528,0.035,-0.614,-0.085,0.038,-0.133,10,11,3,4
10_11_4_5,-41.034,0.667,-40.75,-0.375,0.033,-0.443,-0.061,0.037,-0.052,10,11,4,5
10_11_5_6,21.717,1.33,23.0,-0.518,0.037,-0.578,-0.047,0.073,-0.08,10,11,5,6
10_11_6_7,-7.972,0.408,-8.031,-0.298,0.033,-0.377,-0.266,0.027,-0.239,10,11,6,7
10_11_7_9,28.125,0.374,27.688,-0.216,0.027,-0.28,-1.137,0.019,-1.177,10,11,7,9
1_2_10_11,8.362,0.47,8.657,0.142,0.091,0.067,0.018,0.006,0.018,1,2,10,11
1_2_3_4,-3.182,0.355,-3.532,0.006,0.12,-0.116,-0.161,0.006,-0.143,1,2,3,4
1_2_4_5,-12.584,0.49,-12.156,0.143,0.075,0.015,-0.06,0.007,-0.042,1,2,4,5
1_2_5_6,74.107,0.374,73.718,0.244,0.054,0.261,-0.068,0.008,-0.086,1,2,5,6
1_2_6_7,-43.979,0.48,-44.218,0.109,0.091,0.062,-0.03,0.006,-0.034,1,2,6,7
1_2_7_9,-20.602,0.331,-20.218,0.159,0.074,0.039,0.008,0.004,0.008,1,2,7,9
1_2_9_10,-80.476,0.246,-80.5,0.154,0.089,0.073,-0.013,0.004,-0.01,1,2,9,10
2_3_10_11,8.519,0.305,8.891,-0.249,0.143,-0.459,-0.04,0.005,-0.024,2,3,10,11
2_3_4_5,-11.669,1.066,-11.5,-0.946,0.207,-1.187,-0.333,0.023,-0.31,2,3,4,5
2_3_5_6,72.915,0.64,71.375,-0.309,0.136,-0.495,-0.076,0.011,-0.054,2,3,5,6
2_3_6_7,-42.177,0.445,-42.156,-0.213,0.13,-0.455,-0.036,0.008,-0.022,2,3,6,7
2_3_7_9,-22.9,0.266,-22.656,-0.222,0.13,-0.442,-0.005,0.005,-0.012,2,3,7,9
2_3_9_10,-80.552,0.383,-80.5,-0.199,0.133,-0.388,-0.017,0.006,-0.023,2,3,9,10
3_4_10_11,7.961,0.494,7.906,-0.651,0.079,-0.995,0.002,0.008,0.025,3,4,10,11
3_4_1_2,12.143,0.57,11.282,-1.795,0.579,-1.978,-0.176,0.009,-0.178,3,4,1,2
3_4_5_6,75.271,0.741,74.937,-1.448,0.15,-1.791,-0.42,0.014,-0.41,3,4,5,6
