quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
49_50_51_52,3.122,0.251,2.938,-0.387,0.221,-0.587,-0.01,0.003,0.0,49,50,51,52
49_50_52_53,244.598,0.896,245.094,0.411,0.032,0.319,-0.573,0.024,-0.568,49,50,52,53
49_50_53_54,4825.875,2195.814,7287.625,0.33,0.064,0.168,55.744,122.537,0.0,49,50,53,54
49_50_54_56,5873.636,2966.251,7287.625,0.07,0.02,0.071,-97.922,205.323,0.0,49,50,54,56
49_50_56_57,78.368,1.302,79.532,-0.347,0.102,-0.572,-0.03,0.035,-0.014,49,50,56,57
49_50_57_58,116.452,0.751,117.125,-0.037,0.047,-0.178,0.046,0.021,0.021,49,50,57,58
49_50_58_59,32.569,0.803,34.156,-0.101,0.063,-0.279,-0.014,0.024,0.002,49,50,58,59
50_51_52_53,343.912,9.015,342.812,-0.153,0.16,-0.441,-59.562,0.102,-59.676,50,51,52,53
50_51_53_54,7287.625,0.0,7287.625,0.677,0.175,0.295,0.0,0.0,0.0,50,51,53,54
50_51_54_56,6712.519,2210.528,7287.625,-0.193,0.046,-0.282,-39.779,152.886,0.0,50,51,54,56
50_51_56_57,76.61,0.549,76.344,-0.153,0.167,-0.445,-0.032,0.01,-0.011,50,51,56,57
50_51_57_58,118.037,2.507,118.906,0.079,0.081,-0.075,-0.014,0.055,-0.027,50,51,57,58
50_51_58_59,32.603,2.058,33.218,0.005,0.1,-0.178,0.002,0.045,-0.029,50,51,58,59
51_52_49_50,36.313,1.073,36.5,0.04,0.098,-0.188,0.011,0.011,0.029,51,52,49,50
51_52_53_54,7265.334,187.699,7287.625,0.016,0.058,0.009,0.238,2.003,0.0,51,52,53,54
51_52_54_56,7287.304,5.669,7287.625,-0.031,0.076,0.004,-0.003,0.06,0.0,51,52,54,56
51_52_56_57,82.48,0.717,84.219,0.0,0.0,0.0,0.104,0.14,0.078,51,52,56,57
51_52_57_58,116.964,0.827,117.5,0.062,0.086,0.018,0.0,0.009,-0.008,51,52,57,58
51_52_58_59,38.21,0.653,39.032,0.0,0.0,0.0,-0.008,0.128,0.149,51,52,58,59
52_53_49_50,38.159,0.731,38.094,-0.531,0.091,-0.784,-0.68,0.017,-0.696,52,53,49,50
52_53_50_51,-377.046,4.567,-377.375,-0.452,0.087,-0.688,-67.192,0.196,-66.86,52,53,50,51
52_53_54_56,7141.541,989.308,7287.625,-0.445,0.013,-0.488,63.333,428.5,0.0,52,53,54,56
52_53_56_57,85.649,2.874,86.656,-1.082,0.101,-1.446,-0.192,0.043,-0.164,52,53,56,57
52_53_57_58,116.858,0.933,117.312,-0.241,0.033,-0.261,-0.066,0.024,-0.071,52,53,57,58
52_53_58_59,40.059,1.193,39.594,-0.367,0.063,-0.53,-0.041,0.03,-0.064,52,53,58,59
53_54_49_50,35.571,0.532,35.938,0.003,0.002,0.001,1.53,2.076,4.229,53,54,49,50
53_54_50_51,84.687,0.416,80.0,0.007,0.004,0.001,0.23,1.632,-1.551,53,54,50,51
53_54_51_52,2.453,0.197,2.75,0.005,0.004,0.003,-0.778,0.689,-0.26,53,54,51,52
53_54_56_57,83.371,2.049,84.688,0.006,0.004,0.005,-4.982,7.228,-1.461,53,54,56,57
53_54_57_58,113.675,0.76,113.938,0.008,0.005,0.004,5.977,2.851,9.186,53,54,57,58
53_54_58_59,41.789,0.941,43.156,0.006,0.003,0.004,-2.546,3.504,-2.986,53,54,58,59
54_56_49_50,34.65,0.424,35.188,-0.003,0.002,-0.002,1.825,1.461,4.246,54,56,49,50
54_56_50_51,49.758,0.413,48.219,-0.005,0.003,-0.004,1.124,1.63,9.526,54,56,50,51
54_56_51_52,2.419,0.376,2.469,-0.006,0.004,-0.005,-0.273,1.379,2.024,54,56,51,52
54_56_52_53,-281.18,0.63,-280.469,-0.003,0.002,-0.001,-2.881,2.432,1.056,54,56,52,53
54_56_57_58,116.566,2.073,117.125,-0.005,0.003,-0.003,-8.091,7.984,-17.549,54,56,57,58
54_56_58_59,43.83,0.365,43.625,-0.007,0.005,-0.006,-2.057,1.189,-13.386,54,56,58,59
56_57_49_50,36.573,0.687,37.156,0.164,0.095,0.099,-0.017,0.016,-0.038,56,57,49,50
56_57_50_51,29.422,1.177,29.75,0.116,0.172,-0.09,-0.051,0.017,-0.058,56,57,50,51
56_57_51_52,0.695,0.319,0.594,0.058,0.198,-0.105,-0.008,0.004,-0.006,56,57,51,52
56_57_52_53,-260.276,0.262,-259.844,-0.522,0.125,-0.701,-0.167,0.007,-0.152,56,57,52,53
56_57_53_54,7287.625,0.0,7287.625,-0.242,0.029,-0.224,0.0,0.0,0.0,56,57,53,54
56_57_58_59,65.446,0.705,65.469,0.231,0.153,0.163,-0.69,0.01,-0.696,56,57,58,59
57_58_49_50,37.417,1.083,37.344,-0.786,0.173,-0.988,-0.011,0.015,-0.026,57,58,49,50
57_58_50_51,14.372,0.468,14.75,-1.023,0.226,-1.193,0.004,0.007,0.0,57,58,50,51
57_58_51_52,-0.349,0.308,-0.625,-0.917,0.216,-1.097,-0.0,0.005,-0.007,57,58,51,52
57_58_52_53,-245.892,2.459,-244.938,-1.124,0.14,-1.358,-0.088,0.073,-0.076,57,58,52,53
57_58_53_54,7102.602,682.128,7287.625,-0.225,0.02,-0.324,38.554,143.309,0.0,57,58,53,54
57_58_54_56,6081.838,2555.934,7287.625,0.002,0.011,0.005,-358.214,764.65,0.0,57,58,54,56
