quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
25_26_27_28,-35.262,0.593,-35.688,-0.39,0.125,-0.63,-0.591,0.013,-0.629,25,26,27,28
25_26_28_29,213.03,0.886,213.312,-0.148,0.071,-0.317,-0.15,0.02,-0.153,25,26,28,29
25_26_29_30,137.365,1.638,137.468,-0.046,0.059,-0.215,-0.067,0.039,-0.091,25,26,29,30
25_26_30_31,-87.02,0.538,-87.532,-0.518,0.108,-0.748,-0.009,0.008,0.0,25,26,30,31
25_26_31_32,-91.332,0.174,-89.406,-0.471,0.093,-0.667,0.007,0.003,0.023,25,26,31,32
25_26_32_33,-72.118,0.897,-74.218,-0.442,0.088,-0.59,0.001,0.012,-0.056,25,26,32,33
25_26_33_34,8.578,0.618,9.032,-0.475,0.096,-0.677,-0.021,0.008,-0.02,25,26,33,34
26_27_28_29,220.566,1.042,221.188,-0.452,0.146,-0.412,-0.575,0.015,-0.554,26,27,28,29
26_27_29_30,135.031,0.424,135.688,0.324,0.04,0.324,-0.136,0.011,-0.164,26,27,29,30
26_27_30_31,-85.535,0.398,-85.094,-0.102,0.131,-0.219,-0.05,0.005,-0.049,26,27,30,31
26_27_31_32,-90.09,1.745,-89.594,-0.005,0.129,-0.152,-0.031,0.023,-0.041,26,27,31,32
26_27_32_33,-64.712,3.027,-64.562,0.017,0.135,-0.15,0.025,0.039,0.028,26,27,32,33
26_27_33_34,7.566,0.517,8.094,0.048,0.128,-0.015,-0.006,0.007,-0.017,26,27,33,34
27_28_25_26,33.738,0.275,33.406,-0.639,0.228,-0.784,-0.575,0.006,-0.585,27,28,25,26
27_28_29_30,138.401,0.563,139.156,-0.132,0.172,-0.162,-0.477,0.009,-0.48,27,28,29,30
27_28_30_31,-88.13,0.395,-87.344,0.273,0.132,0.168,-0.087,0.005,-0.077,27,28,30,31
27_28_31_32,-91.714,0.554,-91.188,0.325,0.13,0.17,-0.062,0.007,-0.07,27,28,31,32
27_28_32_33,-50.741,0.771,-47.5,0.312,0.137,0.231,-0.007,0.011,0.012,27,28,32,33
27_28_33_34,0.917,0.431,0.688,0.313,0.134,0.245,-0.001,0.006,-0.001,27,28,33,34
28_29_25_26,31.992,0.412,32.844,-1.331,0.185,-1.57,-0.112,0.005,-0.104,28,29,25,26
28_29_26_27,61.157,0.335,60.687,-1.256,0.196,-1.561,-0.615,0.005,-0.662,28,29,26,27
28_29_30_31,-87.671,0.556,-86.406,-1.205,0.133,-1.485,-0.422,0.015,-0.41,28,29,30,31
28_29_31_32,-95.636,0.701,-96.156,-0.95,0.092,-1.117,-0.145,0.01,-0.129,28,29,31,32
28_29_32_33,-50.209,1.125,-47.875,-0.839,0.085,-1.018,-0.054,0.016,-0.083,28,29,32,33
28_29_33_34,5.716,0.392,5.844,-0.836,0.08,-1.001,-0.003,0.005,0.01,28,29,33,34
29_30_25_26,29.282,2.387,29.282,-1.207,0.355,-1.38,-0.013,0.04,-0.002,29,30,25,26
29_30_26_27,53.772,0.27,53.844,-1.12,0.342,-1.291,-0.121,0.005,-0.155,29,30,26,27
29_30_27_28,34.989,0.859,35.094,-0.995,0.384,-1.183,-0.485,0.015,-0.502,29,30,27,28
29_30_31_32,-92.4,0.678,-92.782,-1.255,0.267,-1.472,-0.544,0.013,-0.504,29,30,31,32
29_30_32_33,-50.98,1.002,-51.062,-0.266,0.182,-0.446,-0.099,0.015,-0.102,29,30,32,33
29_30_33_34,8.066,0.726,10.25,-0.107,0.162,-0.25,-0.082,0.012,-0.098,29,30,33,34
30_31_25_26,32.264,0.737,32.468,-1.084,0.273,-1.481,-0.007,0.013,-0.022,30,31,25,26
30_31_26_27,47.084,1.031,47.938,-1.124,0.278,-1.53,0.006,0.019,-0.006,30,31,26,27
30_31_27_28,28.044,0.393,27.875,-1.091,0.282,-1.535,-0.096,0.008,-0.116,30,31,27,28
30_31_28_29,123.148,0.483,123.5,-0.637,0.258,-1.044,-0.442,0.009,-0.436,30,31,28,29
30_31_32_33,-39.972,0.422,-39.156,-1.187,0.254,-1.618,-0.348,0.01,-0.338,30,31,32,33
30_31_33_34,5.835,0.733,6.125,-0.222,0.117,-0.351,-0.108,0.013,-0.104,30,31,33,34
31_32_25_26,30.224,0.488,29.562,-0.658,0.12,-0.669,-0.024,0.007,-0.016,31,32,25,26
31_32_26_27,46.152,1.669,46.906,-0.92,0.195,-1.206,-0.015,0.031,-0.028,31,32,26,27
31_32_27_28,25.0,0.407,24.125,-0.961,0.206,-1.158,-0.044,0.008,-0.063,31,32,27,28
31_32_28_29,119.142,0.369,119.094,-0.984,0.211,-1.208,-0.133,0.007,-0.118,31,32,28,29
31_32_29_30,73.543,0.761,74.375,-0.695,0.197,-0.986,-0.56,0.011,-0.552,31,32,29,30
31_32_33_34,20.456,0.739,22.062,-0.79,0.166,-0.992,-0.72,0.015,-0.692,31,32,33,34
32_33_25_26,32.162,0.317,31.344,-0.917,0.097,-1.048,-0.011,0.005,-0.028,32,33,25,26
32_33_26_27,43.409,0.445,43.438,-1.077,0.129,-1.328,-0.028,0.007,-0.038,32,33,26,27
32_33_27_28,22.444,1.296,22.344,-1.055,0.126,-1.282,-0.021,0.021,-0.013,32,33,27,28
32_33_28_29,118.273,0.347,118.063,-1.058,0.132,-1.316,-0.051,0.005,-0.075,32,33,28,29
32_33_29_30,69.868,0.527,69.969,-1.075,0.139,-1.344,-0.089,0.008,-0.11,32,33,29,30
32_33_30_31,-13.934,0.689,-13.468,-0.72,0.201,-0.93,-0.359,0.015,-0.326,32,33,30,31
33_34_25_26,31.924,2.19,32.188,-0.612,0.101,-0.737,-0.019,0.033,0.008,33,34,25,26
33_34_26_27,40.487,0.587,40.812,-0.593,0.084,-0.622,-0.022,0.012,-0.043,33,34,26,27
33_34_27_28,19.288,1.363,19.625,-0.635,0.086,-0.671,-0.019,0.029,-0.033,33,34,27,28
33_34_28_29,114.48,0.338,115.063,-0.639,0.077,-0.684,-0.003,0.007,-0.012,33,34,28,29
33_34_29_30,67.447,1.001,68.0,-0.632,0.075,-0.645,-0.059,0.022,-0.059,33,34,29,30
33_34_30_31,-22.651,0.575,-21.719,-0.55,0.063,-0.604,-0.088,0.015,-0.062,33,34,30,31
33_34_31_32,-10.332,0.96,-7.282,-0.308,0.064,-0.41,-0.746,0.018,-0.731,33,34,31,32
60_61_62_64,12.605,1.491,9.594,-0.006,0.003,-0.005,104.564,1.202,106.891,60,61,62,64
62_64_60_61,13.716,1.255,13.437,-0.005,0.003,-0.006,96.934,1.223,100.384,62,64,60,61
