quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
13_16_14_15,6.99,1.041,6.125,0.108,0.033,0.057,1.508,0.185,1.3,13,16,14,15
14_15_13_16,68.166,1.782,66.875,-0.168,0.085,-0.249,1.366,0.117,1.452,14,15,13,16
14_17_15_16,-281.993,1.1,-288.531,-1.25,0.189,-1.787,0.934,0.019,0.95,14,17,15,16
15_16_14_17,-55.183,2.068,-56.032,-1.042,0.163,-1.412,0.944,0.036,0.904,15,16,14,17
15_18_16_17,-356.888,0.487,-361.75,-0.815,0.298,-1.337,1.442,0.01,1.434,15,18,16,17
16_17_15_18,-134.59,1.098,-141.156,-0.776,0.284,-1.192,1.45,0.029,1.445,16,17,15,18
16_19_17_18,-48.489,0.843,-57.906,-0.224,0.206,-0.634,1.169,0.015,1.191,16,19,17,18
17_18_16_19,-195.456,1.618,-207.438,-0.804,0.331,-1.428,1.154,0.034,1.156,17,18,16,19
17_20_18_19,-57.4,1.384,-64.75,-0.941,0.206,-1.438,1.227,0.026,1.226,17,20,18,19
18_19_17_20,-601.334,1.974,-601.375,-1.095,0.25,-1.633,1.245,0.033,1.249,18,19,17,20
18_21_19_20,-43.532,1.432,-50.312,-1.118,0.182,-1.603,1.239,0.024,1.226,18,21,19,20
19_20_18_21,-610.353,1.78,-615.062,-1.022,0.161,-1.275,1.161,0.042,1.152,19,20,18,21
19_22_20_21,5.863,1.371,3.031,-0.754,0.148,-1.178,1.283,0.043,1.272,19,22,20,21
20_21_19_22,-780.722,1.628,-786.438,-0.88,0.112,-1.035,1.287,0.027,1.29,20,21,19,22
60_61_62_64,13.546,1.102,14.562,-0.005,0.004,-0.005,99.674,0.936,99.75,60,61,62,64
62_64_60_61,12.144,1.271,11.0,-0.006,0.012,-0.01,99.812,1.334,97.584,62,64,60,61
