quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
36_37_38_39,-48.971,0.211,-49.562,-0.506,0.14,-0.476,-0.453,0.005,-0.461,36,37,38,39
36_37_39_40,-182.118,0.508,-181.75,-0.315,0.114,-0.274,0.173,0.013,0.194,36,37,39,40
36_37_40_42,196.43,0.139,196.344,-0.072,0.06,-0.073,-0.039,0.004,-0.042,36,37,40,42
36_37_42_43,-10.108,0.389,-8.782,-0.231,0.143,-0.217,-0.034,0.005,-0.035,36,37,42,43
36_37_43_44,-6.402,0.202,-5.781,-0.082,0.106,-0.117,-0.002,0.003,-0.003,36,37,43,44
36_37_44_45,-22.216,1.485,-22.0,-0.022,0.091,-0.005,-0.048,0.018,-0.055,36,37,44,45
36_37_45_46,-34.447,0.682,-34.75,0.017,0.086,0.038,-0.144,0.008,-0.148,36,37,45,46
37_38_39_40,-188.19,0.258,-188.125,-1.468,0.184,-1.434,-0.886,0.003,-0.873,37,38,39,40
37_38_40_42,197.736,1.924,196.906,-0.923,0.143,-0.917,-0.082,0.025,-0.07,37,38,40,42
37_38_42_43,-18.387,0.121,-18.437,-0.529,0.066,-0.512,-0.056,0.002,-0.056,37,38,42,43
37_38_43_44,-7.195,0.037,-6.625,-0.398,0.041,-0.383,-0.016,0.0,-0.008,37,38,43,44
37_38_44_45,-29.284,0.438,-29.968,-0.343,0.033,-0.323,-0.021,0.006,-0.023,37,38,44,45
37_38_45_46,-40.216,0.17,-40.375,-0.354,0.027,-0.353,0.024,0.002,0.028,37,38,45,46
38_39_36_37,12.976,0.787,12.875,-0.901,0.301,-0.885,-0.448,0.013,-0.45,38,39,36,37
38_39_40_42,201.27,0.907,201.687,-1.014,0.247,-0.998,-0.44,0.018,-0.437,38,39,40,42
38_39_42_43,-9.798,1.017,-10.094,-0.344,0.104,-0.341,-0.084,0.015,-0.086,38,39,42,43
38_39_43_44,-16.0,0.534,-15.719,-0.149,0.06,-0.131,-0.038,0.007,-0.038,38,39,43,44
38_39_44_45,-20.658,0.46,-20.687,-0.139,0.057,-0.137,0.005,0.006,0.006,38,39,44,45
38_39_45_46,-35.514,0.021,-35.406,-0.055,0.055,-0.048,-0.149,0.001,-0.16,38,39,45,46
39_40_36_37,2.022,0.578,2.468,-1.031,0.233,-1.017,-0.124,0.009,-0.124,39,40,36,37
39_40_37_38,85.856,0.421,85.718,-0.654,0.136,-0.649,-0.935,0.006,-0.928,39,40,37,38
39_40_42_43,-21.344,0.499,-20.875,-0.93,0.158,-0.891,-0.528,0.007,-0.52,39,40,42,43
39_40_43_44,-7.23,0.649,-7.094,-0.29,0.05,-0.292,-0.132,0.009,-0.142,39,40,43,44
39_40_44_45,-29.586,0.352,-29.875,-0.172,0.016,-0.18,-0.052,0.004,-0.05,39,40,44,45
39_40_45_46,-28.483,1.103,-28.187,-0.094,0.008,-0.121,-0.004,0.016,-0.012,39,40,45,46
40_42_36_37,1.243,0.333,1.531,-1.779,0.163,-1.785,-0.021,0.004,-0.027,40,42,36,37
40_42_37_38,83.332,0.156,83.75,-1.749,0.168,-1.725,-0.136,0.0,-0.138,40,42,37,38
40_42_38_39,5.353,0.16,5.468,-1.528,0.113,-1.558,-0.438,0.003,-0.438,40,42,38,39
40_42_43_44,-10.599,0.101,-10.562,-1.995,0.211,-1.984,-0.99,0.001,-0.988,40,42,43,44
40_42_44_45,-30.791,0.16,-30.437,-0.982,0.085,-0.97,-0.078,0.001,-0.074,40,42,44,45
40_42_45_46,-29.168,0.062,-28.75,-1.124,0.049,-1.136,-0.038,0.001,-0.038,40,42,45,46
42_43_36_37,6.824,0.991,7.532,-1.401,0.274,-1.395,-0.11,0.012,-0.122,42,43,36,37
42_43_37_38,70.856,0.515,70.25,-1.475,0.288,-1.453,-0.05,0.007,-0.048,42,43,37,38
42_43_38_39,-0.452,0.822,-0.437,-1.398,0.322,-1.368,-0.113,0.01,-0.119,42,43,38,39
42_43_39_40,2.714,1.11,3.032,-0.782,0.271,-0.752,-0.528,0.017,-0.529,42,43,39,40
42_43_44_45,-27.661,0.371,-27.906,-1.628,0.301,-1.626,-0.568,0.004,-0.561,42,43,44,45
42_43_45_46,-38.896,0.215,-38.782,-0.255,0.062,-0.261,-0.123,0.004,-0.122,42,43,45,46
43_44_36_37,2.094,0.277,2.094,-1.489,0.134,-1.469,-0.013,0.003,-0.014,43,44,36,37
43_44_37_38,78.983,0.404,78.5,-1.605,0.201,-1.62,-0.02,0.006,-0.02,43,44,37,38
43_44_38_39,-10.548,1.031,-10.093,-1.688,0.241,-1.665,-0.046,0.016,-0.042,43,44,38,39
