quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
25_28_26_27,-61.302,0.453,-59.969,-0.016,0.16,-0.238,1.617,0.014,1.568,25,28,26,27
26_27_25_28,-103.338,1.417,-102.719,-0.393,0.195,-0.576,1.604,0.039,1.607,26,27,25,28
26_29_27_28,-427.231,0.347,-427.75,-0.634,0.146,-0.941,1.463,0.008,1.422,26,29,27,28
27_28_26_29,-140.967,0.271,-147.625,-0.647,0.187,-0.832,1.499,0.009,1.492,27,28,26,29
27_30_28_29,42.161,0.572,37.906,-1.152,0.084,-1.486,1.517,0.032,1.512,27,30,28,29
28_29_27_30,-43.024,0.388,-48.25,-1.238,0.174,-1.541,1.509,0.01,1.476,28,29,27,30
28_31_29_30,19.545,0.703,15.594,-1.636,0.168,-2.068,1.443,0.015,1.377,28,31,29,30
29_30_28_31,-85.59,1.972,-88.188,-1.232,0.306,-1.498,1.483,0.031,1.446,29,30,28,31
29_32_30_31,-166.397,0.282,-170.781,-0.366,0.197,-0.611,1.194,0.007,1.22,29,32,30,31
30_31_29_32,-622.38,2.091,-627.063,-1.061,0.287,-1.483,1.187,0.039,1.184,30,31,29,32
30_33_31_32,-82.839,1.643,-81.25,-0.343,0.132,-0.671,1.786,0.036,1.785,30,33,31,32
31_32_30_33,-630.117,2.906,-630.438,-0.707,0.144,-0.902,1.816,0.042,1.863,31,32,30,33
31_34_32_33,-32.719,2.705,-31.562,-0.705,0.108,-0.918,1.168,0.05,1.26,31,34,32,33
32_33_31_34,-651.684,0.57,-656.782,-0.93,0.108,-1.161,1.199,0.014,1.206,32,33,31,34
60_61_62_64,13.983,1.312,14.282,-0.005,0.002,-0.004,99.647,1.124,100.258,60,61,62,64
62_64_60_61,11.23,1.72,10.626,-0.003,0.002,0.001,101.544,1.762,99.524,62,64,60,61
