quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
25_26_27_28,9.168,0.815,10.157,-0.344,0.187,-0.308,-0.486,0.015,-0.482,25,26,27,28
25_26_28_29,218.101,0.484,218.188,0.109,0.125,0.131,-0.117,0.006,-0.114,25,26,28,29
25_26_29_30,235.784,0.044,236.094,0.309,0.113,0.329,-0.033,0.0,-0.038,25,26,29,30
25_26_30_31,-5.508,0.486,-4.656,0.345,0.099,0.371,-0.019,0.008,-0.018,25,26,30,31
25_26_31_32,-496.93,0.469,-496.281,0.32,0.13,0.349,-0.021,0.007,-0.018,25,26,31,32
25_26_32_33,-27.351,0.555,-27.812,0.377,0.1,0.4,-0.021,0.008,-0.022,25,26,32,33
25_26_33_34,60.067,0.424,59.468,0.441,0.074,0.463,0.014,0.007,0.017,25,26,33,34
26_27_28_29,219.284,0.172,219.312,-1.389,0.307,-1.387,-0.522,0.004,-0.52,26,27,28,29
26_27_29_30,234.932,0.663,235.344,-0.373,0.162,-0.359,-0.094,0.01,-0.096,26,27,29,30
26_27_30_31,-4.144,0.509,-4.375,0.291,0.094,0.285,0.007,0.008,0.018,26,27,30,31
26_27_31_32,-500.514,0.445,-500.782,0.52,0.113,0.442,-0.016,0.006,-0.005,26,27,31,32
26_27_32_33,-27.683,0.06,-27.438,0.547,0.059,0.543,-0.014,0.0,-0.021,26,27,32,33
26_27_33_34,61.51,0.658,61.25,0.355,0.095,0.334,-0.008,0.009,-0.003,26,27,33,34
27_28_25_26,-26.616,0.098,-26.688,-1.455,0.18,-1.48,-0.434,0.006,-0.431,27,28,25,26
27_28_29_30,235.87,1.223,236.375,-2.764,0.163,-2.757,-0.44,0.023,-0.446,27,28,29,30
27_28_30_31,-7.678,2.475,-8.594,-1.549,0.076,-1.633,-0.113,0.037,-0.128,27,28,30,31
27_28_31_32,-499.18,0.129,-499.844,-0.738,0.001,-0.75,0.007,0.001,0.002,27,28,31,32
27_28_32_33,-26.161,0.093,-26.219,-0.496,0.062,-0.532,-0.008,0.001,-0.005,27,28,32,33
27_28_33_34,62.231,0.008,61.438,-0.41,0.105,-0.494,0.036,0.001,0.05,27,28,33,34
28_29_25_26,-27.336,0.368,-26.874,-2.196,0.338,-2.18,-0.099,0.008,-0.088,28,29,25,26
28_29_26_27,17.822,0.582,17.75,-1.427,0.204,-1.339,-0.526,0.016,-0.52,28,29,26,27
28_29_30_31,-2.486,0.341,-3.625,-2.803,0.247,-2.844,-0.408,0.001,-0.416,28,29,30,31
28_29_31_32,-501.589,1.549,-502.188,-1.438,0.17,-1.46,-0.068,0.025,-0.08,28,29,31,32
28_29_32_33,-24.12,2.232,-24.25,-0.8,0.074,-0.741,-0.057,0.034,-0.049,28,29,32,33
28_29_33_34,61.43,0.334,61.625,-0.402,0.009,-0.456,0.016,0.006,0.003,28,29,33,34
29_30_25_26,-27.574,1.382,-27.625,-2.794,0.373,-2.743,-0.036,0.028,-0.048,29,30,25,26
29_30_26_27,6.99,0.77,7.344,-2.488,0.301,-2.465,-0.069,0.01,-0.077,29,30,26,27
29_30_27_28,91.632,0.891,91.344,-2.119,0.292,-2.037,-0.444,0.01,-0.439,29,30,27,28
29_30_31_32,-496.909,0.535,-497.406,-3.591,0.404,-3.57,-0.5,0.008,-0.508,29,30,31,32
29_30_32_33,-22.21,0.328,-22.0,-1.553,0.049,-1.5,-0.106,0.007,-0.096,29,30,32,33
29_30_33_34,62.375,0.756,62.656,-1.072,0.068,-1.157,-0.002,0.011,0.004,29,30,33,34
30_31_25_26,-29.067,0.048,-29.032,-2.197,0.255,-2.168,-0.058,0.002,-0.065,30,31,25,26
30_31_26_27,0.147,0.72,-0.343,-2.232,0.296,-2.171,-0.074,0.014,-0.075,30,31,26,27
30_31_27_28,85.262,0.204,85.156,-2.101,0.339,-1.997,-0.133,0.006,-0.134,30,31,27,28
30_31_28_29,119.634,0.045,119.844,-1.273,0.077,-1.31,-0.376,0.003,-0.38,30,31,28,29
30_31_32_33,-18.092,0.709,-18.344,-3.117,0.372,-3.011,-0.321,0.011,-0.322,30,31,32,33
