quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
13_16_14_15,40.192,0.092,40.719,0.237,0.021,0.252,1.839,0.016,1.814,13,16,14,15
14_15_13_16,2.505,0.109,2.188,-0.759,0.095,-0.701,1.813,0.011,1.82,14,15,13,16
14_17_15_16,-328.296,0.195,-328.0,-1.139,0.013,-1.14,1.072,0.016,1.082,14,17,15,16
15_16_14_17,-150.38,1.175,-151.094,-1.24,0.103,-1.188,1.072,0.039,1.076,15,16,14,17
15_18_16_17,-54.178,0.034,-54.906,-1.449,0.141,-1.419,1.945,0.006,1.935,15,18,16,17
16_17_15_18,-149.565,0.96,-148.938,-1.0,0.107,-1.003,1.975,0.014,2.014,16,17,15,18
16_19_17_18,-8.579,0.42,-8.406,-1.029,0.147,-1.031,1.194,0.011,1.198,16,19,17,18
17_18_16_19,-16.54,1.112,-16.188,-1.114,0.213,-1.123,1.108,0.013,1.094,17,18,16,19
17_20_18_19,18.94,0.168,18.781,-1.152,0.124,-1.147,1.334,0.001,1.322,17,20,18,19
18_19_17_20,-371.896,0.647,-372.25,-0.98,0.213,-0.986,1.196,0.006,1.192,18,19,17,20
18_21_19_20,-2.976,3.426,-2.219,-0.714,0.183,-0.675,1.113,0.1,1.152,18,21,19,20
19_20_18_21,-363.134,0.206,-362.594,-1.209,0.103,-1.166,1.124,0.002,1.142,19,20,18,21
19_22_20_21,-50.017,0.124,-50.218,-0.524,0.105,-0.622,1.212,0.004,1.209,19,22,20,21
20_21_19_22,-544.288,0.3,-545.218,-0.458,0.117,-0.429,1.339,0.006,1.336,20,21,19,22
60_61_62_64,4.892,2.361,5.656,0.004,0.008,0.004,101.461,0.175,100.845,60,61,62,64
62_64_60_61,13.38,1.293,13.344,-0.004,0.016,-0.004,101.595,0.606,101.772,62,64,60,61
