quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
13_14_15_16,-9.419,0.398,-9.062,0.525,0.117,0.352,-0.368,0.013,-0.382,13,14,15,16
13_14_16_17,42.124,0.424,41.844,-0.025,0.051,-0.024,-0.139,0.006,-0.114,13,14,16,17
13_14_17_18,35.498,1.467,35.656,0.816,0.054,0.827,-0.008,0.046,0.025,13,14,17,18
13_14_18_19,34.849,1.726,35.468,0.591,0.085,0.529,0.023,0.052,0.058,13,14,18,19
13_14_19_20,-20.483,0.699,-19.188,-0.089,0.053,-0.049,-0.008,0.009,0.001,13,14,19,20
13_14_20_21,-40.212,2.601,-38.875,-0.115,0.035,-0.118,0.003,0.033,-0.01,13,14,20,21
13_14_21_22,-40.379,0.783,-40.468,-0.064,0.033,-0.077,0.009,0.01,0.028,13,14,21,22
14_15_16_17,59.275,0.758,59.094,0.14,0.093,0.195,-1.076,0.012,-1.062,14,15,16,17
14_15_17_18,25.717,0.242,25.344,0.591,0.071,0.569,-0.112,0.003,-0.122,14,15,17,18
14_15_18_19,36.267,2.077,37.625,0.569,0.084,0.532,-0.053,0.027,-0.07,14,15,18,19
14_15_19_20,-15.447,0.31,-15.343,0.521,0.071,0.483,-0.007,0.004,0.016,14,15,19,20
14_15_20_21,-38.419,0.779,-39.438,0.523,0.077,0.495,-0.012,0.01,-0.012,14,15,20,21
14_15_21_22,-35.746,0.768,-35.219,0.514,0.078,0.48,0.018,0.01,0.026,14,15,21,22
15_16_13_14,11.404,0.238,11.188,-0.586,0.137,-0.537,-0.342,0.016,-0.399,15,16,13,14
15_16_17_18,33.341,0.27,34.438,1.344,0.034,1.179,-0.312,0.003,-0.311,15,16,17,18
15_16_18_19,37.112,0.283,37.438,0.496,0.158,0.27,-0.034,0.016,-0.028,15,16,18,19
15_16_19_20,-17.397,3.494,-14.781,0.578,0.072,0.574,-0.06,0.059,-0.064,15,16,19,20
15_16_20_21,-39.727,0.373,-41.032,0.645,0.055,0.643,-0.021,0.006,-0.001,15,16,20,21
15_16_21_22,-31.706,0.606,-32.406,0.544,0.05,0.548,-0.024,0.01,-0.019,15,16,21,22
16_17_13_14,9.135,0.477,8.75,-0.446,0.058,-0.48,-0.152,0.007,-0.154,16,17,13,14
16_17_14_15,86.24,0.566,86.094,-0.552,0.109,-0.54,-1.089,0.027,-1.083,16,17,14,15
16_17_18_19,36.532,2.557,33.218,-0.402,0.024,-0.489,-0.373,0.033,-0.393,16,17,18,19
16_17_19_20,-14.435,0.62,-15.063,-0.398,0.016,-0.428,-0.111,0.011,-0.097,16,17,19,20
16_17_20_21,-41.05,0.216,-41.032,-0.386,0.032,-0.403,-0.03,0.004,-0.022,16,17,20,21
16_17_21_22,-29.903,2.168,-27.812,-0.375,0.055,-0.367,-0.007,0.038,-0.006,16,17,21,22
17_18_13_14,7.514,0.369,7.438,-0.802,0.07,-0.813,-0.027,0.005,-0.022,17,18,13,14
17_18_14_15,82.465,1.504,82.906,-0.939,0.062,-0.866,-0.105,0.018,-0.105,17,18,14,15
17_18_15_16,75.238,0.34,75.5,-0.545,0.186,-0.535,-0.322,0.013,-0.342,17,18,15,16
17_18_19_20,-13.938,0.73,-13.563,-0.238,0.142,-0.309,-0.439,0.027,-0.496,17,18,19,20
17_18_20_21,-34.821,0.213,-33.532,-0.507,0.055,-0.505,-0.105,0.003,-0.102,17,18,20,21
17_18_21_22,-22.904,2.351,-21.062,-0.59,0.057,-0.578,-0.069,0.031,-0.056,17,18,21,22
18_19_13_14,5.427,1.963,6.781,-0.144,0.119,-0.141,-0.032,0.025,-0.042,18,19,13,14
18_19_14_15,79.812,0.413,80.094,-0.139,0.108,-0.109,-0.028,0.005,-0.027,18,19,14,15
18_19_15_16,77.47,0.521,76.062,-0.139,0.09,-0.225,-0.059,0.007,-0.06,18,19,15,16
