quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
25_28_26_27,-147.364,0.829,-147.906,-2.385,0.883,-3.374,1.157,0.011,1.164,25,28,26,27
26_27_25_28,52.674,0.659,51.688,-0.17,0.045,-0.439,1.188,0.035,1.209,26,27,25,28
26_29_27_28,-90.763,1.254,-104.312,-2.13,0.701,-3.447,1.21,0.006,1.202,26,29,27,28
27_28_26_29,-37.554,1.062,-40.468,-1.976,0.083,-3.129,1.188,0.021,1.194,27,28,26,29
27_30_28_29,-104.032,0.88,-116.406,-6.124,0.834,-8.018,1.158,0.016,1.136,27,30,28,29
28_29_27_30,118.62,0.368,114.218,-1.743,0.076,-3.026,1.205,0.041,1.248,28,29,27,30
28_31_29_30,33.754,0.709,24.594,-2.633,0.743,-3.652,1.234,0.01,1.232,28,31,29,30
29_30_28_31,-7.778,0.681,-10.938,-2.14,0.063,-3.271,1.301,0.046,1.237,29,30,28,31
29_32_30_31,-210.411,0.489,-222.625,-3.463,0.463,-4.504,1.046,0.012,1.05,29,32,30,31
30_31_29_32,-213.791,1.317,-216.625,-2.322,1.207,-3.467,1.021,0.003,1.012,30,31,29,32
30_33_31_32,-39.307,0.586,-48.906,-2.65,0.547,-3.715,1.551,0.005,1.554,30,33,31,32
31_32_30_33,-328.621,0.54,-337.281,-3.054,0.444,-4.209,1.562,0.007,1.539,31,32,30,33
31_34_32_33,18.879,0.582,7.063,-1.435,0.345,-2.164,0.997,0.01,1.028,31,34,32,33
32_33_31_34,-441.459,0.558,-446.688,-2.055,0.403,-2.712,1.02,0.006,1.092,32,33,31,34
60_61_62_64,3.151,1.006,2.282,0.003,0.015,0.001,101.124,1.266,101.594,60,61,62,64
62_64_60_61,-1.197,0.874,-0.157,0.002,0.014,0.001,101.851,1.325,101.233,62,64,60,61
