quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
25_28_26_27,-145.288,0.1,-145.188,0.294,0.245,0.293,1.418,0.004,1.422,25,28,26,27
26_27_25_28,-72.524,0.127,-72.062,-0.479,0.272,-0.439,1.42,0.002,1.399,26,27,25,28
26_29_27_28,-307.736,0.264,-307.375,-0.929,0.161,-0.924,1.39,0.006,1.385,26,29,27,28
27_28_26_29,-159.2,6.111,-161.969,-1.875,0.268,-1.87,1.25,0.1,1.206,27,28,26,29
27_30_28_29,61.82,0.32,61.906,-2.801,0.263,-2.749,1.308,0.008,1.313,27,30,28,29
28_29_27_30,-22.757,0.853,-22.844,-2.031,0.327,-1.974,1.345,0.007,1.344,28,29,27,30
28_31_29_30,57.24,1.038,58.531,-2.909,0.257,-2.86,1.276,0.022,1.263,28,31,29,30
29_30_28_31,-13.967,0.37,-14.032,-2.565,0.337,-2.494,1.399,0.008,1.418,29,30,28,31
29_32_30_31,-58.339,0.169,-58.0,-1.395,0.252,-1.359,1.12,0.004,1.116,29,32,30,31
30_31_29_32,-647.637,2.297,-647.125,-2.365,0.295,-2.308,1.128,0.03,1.136,30,31,29,32
30_33_31_32,-263.803,0.432,-263.594,-0.631,0.314,-0.615,1.656,0.012,1.668,30,33,31,32
31_32_30_33,-717.884,4.405,-721.468,-0.819,0.232,-0.827,1.684,0.088,1.724,31,32,30,33
31_34_32_33,-10.086,0.319,-10.188,-0.206,0.215,-0.206,1.104,0.006,1.092,31,34,32,33
32_33_31_34,-561.827,0.443,-562.282,-2.078,0.132,-2.068,1.113,0.001,1.098,32,33,31,34
60_61_62_64,14.938,3.028,16.062,-0.001,0.006,0.001,103.191,1.022,103.06,60,61,62,64
62_64_60_61,-3.279,0.28,-2.875,-0.002,0.006,-0.006,102.044,0.369,102.254,62,64,60,61
