quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
13_16_14_15,11.085,3.222,12.5,0.013,0.03,-0.019,1.844,0.534,1.929,13,16,14,15
14_15_13_16,88.055,0.466,87.125,-0.124,0.09,-0.219,2.112,0.018,2.092,14,15,13,16
14_17_15_16,-188.295,0.743,-190.844,-0.618,0.064,-0.729,1.023,0.032,1.019,14,17,15,16
15_16_14_17,-96.618,0.378,-96.718,-0.502,0.069,-0.515,0.953,0.029,0.989,15,16,14,17
15_18_16_17,-212.143,0.697,-216.625,-0.496,0.153,-0.45,2.148,0.022,2.184,15,18,16,17
16_17_15_18,-58.615,1.793,-63.156,-0.414,0.087,-0.439,1.946,0.132,2.08,16,17,15,18
16_19_17_18,5.031,0.383,2.0,-0.352,0.08,-0.341,1.14,0.023,1.106,16,19,17,18
17_18_16_19,-11.269,0.487,-12.718,-0.51,0.149,-0.575,1.218,0.02,1.226,17,18,16,19
17_20_18_19,19.159,1.701,15.032,-0.54,0.12,-0.573,1.22,0.083,1.312,17,20,18,19
18_19_17_20,-491.871,0.362,-496.281,-0.728,0.113,-0.933,1.284,0.012,1.207,18,19,17,20
18_21_19_20,-53.848,0.505,-58.188,-0.4,0.063,-0.508,1.15,0.016,1.086,18,21,19,20
19_20_18_21,-475.836,1.929,-476.312,-0.514,0.092,-0.61,1.219,0.066,1.2,19,20,18,21
19_22_20_21,-28.599,0.627,-32.219,-0.104,0.076,-0.254,1.134,0.019,1.158,19,22,20,21
20_21_19_22,-638.934,0.467,-642.625,-0.384,0.049,-0.441,1.116,0.023,1.218,20,21,19,22
60_61_62_64,15.325,1.221,17.468,-0.004,0.003,-0.003,97.495,1.114,97.128,60,61,62,64
62_64_60_61,11.416,1.433,13.812,-0.004,0.005,-0.004,100.227,1.265,102.172,62,64,60,61
