quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
49_50_51_52,3.298,0.266,3.032,-0.489,0.047,-0.467,-0.005,0.005,0.002,49,50,51,52
49_50_52_53,114.435,0.363,113.844,0.304,0.02,0.303,-0.616,0.013,-0.656,49,50,52,53
49_50_53_54,-1265.399,16.833,-1312.188,0.356,0.034,0.381,-123.302,4.218,-128.568,49,50,53,54
49_50_54_56,-2947.159,21.395,-2951.406,0.248,0.02,0.248,-98.779,4.356,-99.31,49,50,54,56
49_50_56_57,-1.188,0.457,-1.188,0.038,0.019,0.046,-0.021,0.019,-0.054,49,50,56,57
49_50_57_58,17.706,0.657,18.125,0.084,0.012,0.088,-0.033,0.043,-0.03,49,50,57,58
49_50_58_59,43.878,0.32,44.0,0.138,0.0,0.148,0.17,0.02,0.157,49,50,58,59
50_51_52_53,663.856,1.849,664.562,-0.033,0.059,-0.03,-142.466,0.22,-142.57,50,51,52,53
50_51_53_54,-1261.36,25.579,-1295.781,0.524,0.058,0.522,63.13,0.637,65.022,50,51,53,54
50_51_54_56,-5864.894,46.448,-5900.938,0.401,0.04,0.39,73.462,11.714,76.589,50,51,54,56
50_51_56_57,1.74,0.495,1.531,0.042,0.015,0.039,0.03,0.027,0.023,50,51,56,57
50_51_57_58,20.678,0.637,20.75,0.037,0.073,0.035,0.049,0.013,0.051,50,51,57,58
50_51_58_59,44.526,0.13,44.282,0.428,0.035,0.405,0.019,0.002,-0.008,50,51,58,59
51_52_49_50,31.682,0.94,31.438,0.0,0.0,0.0,-0.024,0.023,-0.021,51,52,49,50
51_52_53_54,-1065.805,146.623,-1083.156,-0.278,0.242,-0.325,-5.349,1.545,-5.52,51,52,53,54
51_52_54_56,-5898.572,0.031,-5898.5,-0.121,0.133,-0.197,11.313,0.01,11.303,51,52,54,56
51_52_56_57,0.803,0.143,0.782,0.036,0.075,0.019,0.026,0.002,0.028,51,52,56,57
51_52_57_58,18.356,0.047,18.406,0.004,0.003,0.0,0.005,0.001,0.005,51,52,57,58
51_52_58_59,42.738,0.209,42.406,0.0,0.0,0.0,0.009,0.005,0.002,51,52,58,59
52_53_49_50,31.156,0.433,30.875,-0.03,0.003,-0.029,-0.604,0.023,-0.612,52,53,49,50
52_53_50_51,-333.544,2.413,-334.625,-0.046,0.011,-0.046,-184.968,0.057,-184.972,52,53,50,51
52_53_54_56,-5900.014,0.016,-5900.0,-0.408,0.032,-0.405,31.734,2.456,32.017,52,53,54,56
52_53_56_57,-0.236,0.056,-0.343,-0.137,0.079,-0.155,-0.158,0.001,-0.165,52,53,56,57
52_53_57_58,18.868,0.493,19.063,0.274,0.033,0.287,0.041,0.033,0.025,52,53,57,58
52_53_58_59,44.512,0.094,44.75,0.158,0.032,0.129,-0.182,0.006,-0.196,52,53,58,59
53_54_49_50,26.613,0.082,26.563,0.011,0.017,0.006,-0.441,1.109,-0.103,53,54,49,50
53_54_50_51,-42.791,0.312,-42.625,0.009,0.004,0.009,-7.634,0.709,-9.178,53,54,50,51
53_54_51_52,1.308,0.351,1.156,0.009,0.006,0.01,-2.148,1.501,-1.164,53,54,51,52
53_54_56_57,-1.598,0.495,-1.094,0.005,0.006,0.005,3.528,1.884,2.447,53,54,56,57
53_54_57_58,15.544,0.251,16.062,0.005,0.005,0.005,-6.252,0.696,-5.578,53,54,57,58
53_54_58_59,43.812,0.011,43.438,0.003,0.004,0.003,7.559,0.023,9.49,53,54,58,59
54_56_49_50,26.714,0.462,26.844,-0.004,0.003,-0.003,-13.328,1.725,-13.494,54,56,49,50
54_56_50_51,-60.106,0.279,-60.344,-0.004,0.005,-0.003,5.464,1.24,4.176,54,56,50,51
54_56_51_52,-1.598,0.272,-1.188,-0.006,0.005,-0.006,0.908,1.368,1.176,54,56,51,52
54_56_52_53,-393.128,0.068,-393.532,-0.004,0.006,-0.002,14.808,0.561,14.997,54,56,52,53
54_56_57_58,17.736,0.204,17.656,-0.015,0.019,-0.013,9.507,2.061,7.544,54,56,57,58
54_56_58_59,41.916,0.477,41.844,-0.014,0.013,-0.015,-2.298,2.822,-1.552,54,56,58,59
56_57_49_50,26.526,0.523,26.376,0.184,0.006,0.168,0.152,0.027,0.138,56,57,49,50
56_57_50_51,-67.245,0.553,-67.281,-0.278,0.037,-0.278,-0.025,0.034,-0.033,56,57,50,51
56_57_51_52,4.798,0.214,4.719,-0.331,0.111,-0.325,0.038,0.004,0.037,56,57,51,52
56_57_52_53,-389.276,0.276,-389.5,-0.319,0.062,-0.326,-0.401,0.001,-0.35,56,57,52,53
56_57_53_54,14.62,28.429,-51.25,-0.09,0.004,-0.102,70.239,6.38,66.661,56,57,53,54
56_57_58_59,45.608,0.268,45.875,-0.241,0.085,-0.227,-0.485,0.005,-0.484,56,57,58,59
57_58_49_50,26.44,0.755,26.188,-0.523,0.112,-0.523,-0.01,0.011,-0.01,57,58,49,50
57_58_50_51,-69.676,0.526,-70.0,-0.843,0.127,-0.82,-0.018,0.02,-0.028,57,58,50,51
57_58_51_52,-0.077,0.029,0.219,-0.648,0.125,-0.628,-0.01,0.0,-0.014,57,58,51,52
