quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
36_37_38_39,-21.993,3.091,-20.781,-0.474,0.187,-0.442,-0.456,0.04,-0.47,36,37,38,39
36_37_39_40,-169.736,0.583,-169.562,-0.163,0.116,-0.157,-0.13,0.008,-0.13,36,37,39,40
36_37_40_42,208.826,1.502,208.25,0.507,0.001,0.508,-0.17,0.04,-0.176,36,37,40,42
36_37_42_43,-6.092,0.617,-6.344,-0.125,0.113,-0.116,-0.026,0.008,-0.031,36,37,42,43
36_37_43_44,7.258,0.235,6.782,-0.007,0.076,-0.041,-0.045,0.003,-0.044,36,37,43,44
36_37_44_45,-11.349,1.358,-11.781,-0.017,0.12,-0.038,-0.01,0.018,-0.016,36,37,44,45
36_37_45_46,-12.07,0.763,-12.812,-0.032,0.087,-0.024,-0.005,0.01,0.001,36,37,45,46
37_38_39_40,-169.108,0.431,-168.718,-1.426,0.173,-1.373,-0.833,0.011,-0.821,37,38,39,40
37_38_40_42,208.517,0.724,208.531,-0.879,0.151,-0.872,-0.17,0.01,-0.168,37,38,40,42
37_38_42_43,-6.372,4.215,-4.937,-0.489,0.083,-0.51,-0.078,0.059,-0.068,37,38,42,43
37_38_43_44,9.298,0.805,10.063,-0.369,0.033,-0.372,-0.009,0.011,-0.028,37,38,43,44
37_38_44_45,-14.183,0.892,-14.312,-0.297,0.027,-0.261,-0.008,0.013,-0.016,37,38,44,45
37_38_45_46,-10.209,1.596,-10.844,-0.276,0.006,-0.224,-0.011,0.022,-0.006,37,38,45,46
38_39_36_37,21.457,0.494,21.126,-0.827,0.238,-0.778,-0.434,0.006,-0.435,38,39,36,37
38_39_40_42,211.279,0.576,211.344,-0.924,0.219,-0.955,-0.424,0.008,-0.424,38,39,40,42
38_39_42_43,-4.656,0.529,-3.906,-0.309,0.098,-0.302,-0.092,0.008,-0.085,38,39,42,43
38_39_43_44,9.68,0.884,10.437,-0.076,0.075,-0.094,-0.079,0.012,-0.084,38,39,43,44
38_39_44_45,-14.038,0.351,-14.219,-0.012,0.038,0.018,-0.02,0.006,-0.022,38,39,44,45
38_39_45_46,-3.956,1.224,-3.906,-0.077,0.054,-0.058,-0.032,0.017,-0.029,38,39,45,46
39_40_36_37,17.36,0.18,17.0,-0.937,0.197,-0.895,-0.106,0.004,-0.108,39,40,36,37
39_40_37_38,100.394,0.003,99.875,-0.797,0.141,-0.785,-0.818,0.001,-0.824,39,40,37,38
39_40_42_43,-5.803,0.467,-6.156,-0.972,0.139,-0.942,-0.542,0.008,-0.537,39,40,42,43
39_40_43_44,10.553,0.882,10.719,-0.378,0.059,-0.364,-0.134,0.013,-0.126,39,40,43,44
39_40_44_45,-20.716,0.225,-20.594,-0.17,0.015,-0.191,-0.031,0.004,-0.036,39,40,44,45
39_40_45_46,-8.544,3.387,-10.0,-0.134,0.001,-0.145,0.038,0.047,0.074,39,40,45,46
40_42_36_37,18.24,0.756,18.219,-1.894,0.201,-1.881,-0.04,0.012,-0.046,40,42,36,37
40_42_37_38,92.902,0.554,92.188,-1.852,0.195,-1.875,-0.137,0.007,-0.13,40,42,37,38
40_42_38_39,11.216,0.998,10.906,-1.495,0.093,-1.559,-0.429,0.013,-0.432,40,42,38,39
40_42_43_44,14.144,0.719,14.188,-2.017,0.194,-2.029,-0.832,0.007,-0.82,40,42,43,44
40_42_44_45,-16.577,0.239,-16.0,-0.928,0.097,-0.934,-0.162,0.006,-0.166,40,42,44,45
40_42_45_46,-0.02,0.12,-0.625,-0.89,0.107,-0.953,-0.024,0.004,-0.029,40,42,45,46
42_43_36_37,13.07,0.081,13.25,-1.536,0.337,-1.502,-0.015,0.0,-0.022,42,43,36,37
42_43_37_38,90.19,0.391,90.968,-1.394,0.255,-1.432,-0.052,0.007,-0.055,42,43,37,38
