quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
49_50_51_52,0.984,0.393,0.781,0.042,0.045,0.087,-0.002,0.012,0.018,49,50,51,52
49_50_52_53,12.492,0.317,12.125,-0.058,0.031,-0.075,-0.615,0.012,-0.582,49,50,52,53
49_50_53_54,7287.625,0.0,7287.625,0.442,0.047,0.32,-0.021,0.002,0.0,49,50,53,54
49_50_54_56,7285.08,44.944,7287.625,0.152,0.02,0.15,1.286,10.285,0.0,49,50,54,56
49_50_56_57,45.586,0.685,42.406,-0.057,0.02,-0.08,-0.106,0.061,-0.056,49,50,56,57
49_50_57_58,34.358,0.408,33.032,-0.001,0.013,-0.015,-0.049,0.038,-0.035,49,50,57,58
49_50_58_59,13.206,0.405,12.968,-0.03,0.015,-0.08,0.062,0.034,-0.205,49,50,58,59
50_51_52_53,663.081,2.827,655.938,-0.051,0.043,-0.081,-223.56,0.313,-224.712,50,51,52,53
50_51_53_54,7287.625,0.0,7287.625,0.391,0.038,0.24,4.658,0.405,0.0,50,51,53,54
50_51_54_56,7287.625,0.0,7287.625,0.054,0.025,0.026,0.324,0.028,0.0,50,51,54,56
50_51_56_57,48.728,1.988,51.219,-0.06,0.026,-0.099,0.072,0.192,-0.01,50,51,56,57
50_51_57_58,29.112,0.402,28.625,-0.029,0.026,-0.055,0.079,0.036,0.262,50,51,57,58
50_51_58_59,15.251,0.551,16.438,-0.01,0.019,-0.024,-0.038,0.051,-0.085,50,51,58,59
51_52_49_50,50.662,0.143,49.626,-0.043,0.058,-0.2,0.013,0.002,0.022,51,52,49,50
51_52_53_54,7285.891,23.603,7287.625,0.074,0.254,0.002,0.018,0.255,0.0,51,52,53,54
51_52_54_56,7149.829,549.579,7287.625,-0.007,0.108,-0.003,6.123,5.789,0.026,51,52,54,56
51_52_56_57,55.737,2.697,56.375,0.196,0.7,0.701,0.028,0.03,0.024,51,52,56,57
51_52_57_58,26.331,0.854,26.656,0.054,0.088,0.01,-0.001,0.009,-0.008,51,52,57,58
51_52_58_59,26.327,1.378,27.406,0.0,0.0,0.0,0.013,0.034,0.022,51,52,58,59
52_53_49_50,57.347,0.455,56.469,0.039,0.041,-0.02,-0.721,0.038,-0.616,52,53,49,50
52_53_50_51,-353.084,0.541,-353.375,0.038,0.068,0.014,-296.376,1.663,-294.926,52,53,50,51
52_53_54_56,7287.625,0.0,7287.625,-0.094,0.026,-0.098,920.936,290.811,0.0,52,53,54,56
52_53_56_57,65.399,0.28,66.313,0.064,0.041,0.082,-0.186,0.007,-0.174,52,53,56,57
52_53_57_58,22.598,1.884,24.032,0.216,0.019,0.218,-0.236,0.124,-0.297,52,53,57,58
52_53_58_59,28.682,0.334,27.5,0.127,0.021,0.079,-0.043,0.022,-0.05,52,53,58,59
53_54_49_50,56.647,0.524,56.844,0.006,0.002,0.007,2.543,1.775,-0.21,53,54,49,50
53_54_50_51,41.316,0.245,39.594,-0.001,0.011,0.0,-1.097,1.12,-0.518,53,54,50,51
53_54_51_52,1.771,0.464,1.719,-0.004,0.012,0.002,-3.763,1.961,-3.93,53,54,51,52
53_54_56_57,64.016,0.603,64.812,-0.006,0.003,-0.001,-0.267,2.63,-1.421,53,54,56,57
53_54_57_58,17.843,0.401,19.438,-0.003,0.004,-0.002,7.257,1.588,-0.341,53,54,57,58
53_54_58_59,31.323,0.526,30.782,-0.003,0.004,0.001,-2.492,2.065,-4.529,53,54,58,59
54_56_49_50,66.729,0.393,66.875,-0.01,0.005,-0.009,2.411,1.526,10.968,54,56,49,50
54_56_50_51,19.603,2.486,18.781,-0.004,0.009,-0.008,-3.945,9.82,-5.869,54,56,50,51
54_56_51_52,0.792,0.517,0.782,0.001,0.008,0.002,1.808,1.986,1.47,54,56,51,52
54_56_52_53,-394.389,0.372,-393.719,-0.004,0.003,-0.005,3.642,1.338,1.123,54,56,52,53
54_56_57_58,26.737,0.384,27.219,-0.001,0.003,-0.003,-4.995,1.513,-6.272,54,56,57,58
54_56_58_59,34.403,0.556,32.563,-0.001,0.005,-0.001,-1.146,2.128,-0.854,54,56,58,59
56_57_49_50,74.723,0.305,72.875,0.07,0.061,0.046,-0.087,0.028,0.03,56,57,49,50
56_57_50_51,23.738,2.453,24.406,-0.201,0.071,-0.211,-0.039,0.216,-0.07,56,57,50,51
56_57_51_52,-2.041,0.411,-2.312,-0.255,0.091,-0.237,-0.033,0.032,0.056,56,57,51,52
56_57_52_53,-373.354,0.574,-373.281,-0.416,0.086,-0.325,-0.166,0.058,-0.173,56,57,52,53
56_57_53_54,7287.625,0.0,7287.625,-0.087,0.011,-0.1,0.0,0.0,0.0,56,57,53,54
56_57_58_59,55.929,0.119,54.688,0.013,0.02,0.008,-0.59,0.003,-0.582,56,57,58,59
57_58_49_50,80.65,0.538,81.032,-0.102,0.105,-0.082,-0.012,0.012,-0.02,57,58,49,50
57_58_50_51,19.651,0.633,20.187,-0.328,0.129,-0.234,-0.03,0.016,-0.058,57,58,50,51
57_58_51_52,-3.186,0.277,-3.438,-0.178,0.091,-0.106,0.002,0.007,-0.006,57,58,51,52
57_58_52_53,-359.48,1.979,-358.094,-0.409,0.041,-0.446,-0.212,0.184,-0.161,57,58,52,53
57_58_53_54,6987.064,911.838,7287.625,-0.273,0.028,-0.338,-79.055,240.486,0.0,57,58,53,54
57_58_54_56,7287.625,0.0,7287.625,0.064,0.007,0.054,-917.261,123.805,-0.395,57,58,54,56
58_59_49_50,81.61,0.929,82.719,0.333,0.04,0.396,0.037,0.014,0.024,58,59,49,50
58_59_50_51,17.49,0.283,16.812,-0.547,0.039,-0.569,-0.001,0.012,-0.017,58,59,50,51
58_59_51_52,-2.892,0.273,-2.875,-0.711,0.033,-0.764,-0.004,0.015,0.017,58,59,51,52
58_59_52_53,-347.295,2.299,-344.688,-0.471,0.031,-0.503,-0.106,0.151,-0.08,58,59,52,53
58_59_53_54,7281.751,49.98,7287.625,0.099,0.01,0.093,-105.824,15.313,0.0,58,59,53,54
58_59_54_56,7074.583,1339.027,7287.625,0.114,0.007,0.095,-65.166,547.193,0.0,58,59,54,56
58_59_56_57,22.183,0.351,23.094,0.143,0.036,0.203,-0.583,0.006,-0.564,58,59,56,57
60_61_62_64,13.076,0.934,13.437,-0.006,0.015,-0.005,99.303,1.643,100.448,60,61,62,64
62_64_60_61,12.145,0.572,9.875,-0.009,0.034,-0.007,97.958,2.554,99.793,62,64,60,61
