quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
49_50_51_52,1.436,0.351,1.531,-0.194,0.125,-0.182,0.002,0.005,-0.028,49,50,51,52
49_50_52_53,196.655,0.372,196.25,0.723,0.14,0.492,-0.586,0.024,-0.629,49,50,52,53
49_50_53_54,7286.972,11.528,7287.625,0.555,0.074,0.45,0.075,1.325,0.0,49,50,53,54
49_50_54_56,6915.495,1665.117,7287.625,0.255,0.05,0.23,-28.627,201.619,0.0,49,50,54,56
49_50_56_57,79.81,1.603,81.312,-0.172,0.055,-0.276,0.069,0.079,0.041,49,50,56,57
49_50_57_58,41.551,0.771,41.282,-0.012,0.028,-0.073,-0.122,0.039,-0.156,49,50,57,58
49_50_58_59,50.898,1.46,49.532,-0.024,0.03,-0.091,-0.013,0.073,-0.006,49,50,58,59
50_51_52_53,654.317,0.69,654.812,-0.162,0.052,-0.118,-94.285,0.08,-94.634,50,51,52,53
50_51_53_54,7287.625,0.0,7287.625,0.912,0.122,0.528,0.0,0.0,0.0,50,51,53,54
50_51_54_56,7236.296,706.804,7287.625,0.075,0.029,0.038,3.401,66.358,0.0,50,51,54,56
50_51_56_57,81.585,1.075,80.375,-0.107,0.062,-0.205,-0.003,0.046,0.033,50,51,56,57
50_51_57_58,41.502,1.209,42.313,-0.005,0.038,-0.043,0.029,0.056,0.026,50,51,57,58
50_51_58_59,58.619,0.764,58.625,0.001,0.039,-0.072,0.07,0.035,0.048,50,51,58,59
51_52_49_50,41.535,0.684,40.625,0.107,0.123,0.24,-0.01,0.007,-0.007,51,52,49,50
51_52_53_54,7287.625,0.0,7287.625,-0.125,0.088,-0.214,0.0,0.0,0.0,51,52,53,54
51_52_54_56,7285.451,38.405,7287.625,0.014,0.112,0.005,0.024,0.416,0.0,51,52,54,56
51_52_56_57,80.762,2.362,80.562,-0.213,0.195,-0.514,-0.03,0.026,-0.05,51,52,56,57
51_52_57_58,40.619,0.434,40.625,0.006,0.068,-0.248,0.01,0.005,0.007,51,52,57,58
51_52_58_59,60.29,0.724,58.906,0.0,0.0,0.0,0.234,0.142,0.225,51,52,58,59
52_53_49_50,49.532,1.332,50.844,-0.092,0.067,-0.207,-0.622,0.049,-0.636,52,53,49,50
52_53_50_51,-366.811,2.747,-371.188,-0.07,0.058,-0.237,-128.443,0.339,-127.727,52,53,50,51
52_53_54_56,6260.983,2431.429,7287.625,-0.225,0.007,-0.28,-451.066,1651.755,0.0,52,53,54,56
52_53_56_57,92.184,2.86,94.156,-0.064,0.062,-0.064,-0.143,0.036,-0.16,52,53,56,57
52_53_57_58,42.433,0.661,44.281,0.333,0.017,0.227,-0.077,0.026,-0.082,52,53,57,58
52_53_58_59,68.782,0.554,69.594,0.03,0.04,-0.041,0.012,0.023,-0.057,52,53,58,59
53_54_49_50,48.077,0.892,47.938,0.002,0.002,0.001,1.084,3.464,-3.834,53,54,49,50
53_54_50_51,57.732,1.746,52.812,0.005,0.004,0.002,-5.308,6.723,-4.66,53,54,50,51
53_54_51_52,2.619,0.67,2.75,0.007,0.004,0.001,2.281,2.498,1.792,53,54,51,52
53_54_56_57,88.411,3.104,89.656,0.006,0.003,0.004,3.787,12.07,-6.35,53,54,56,57
53_54_57_58,35.213,0.37,35.75,0.004,0.003,0.004,-12.411,1.336,-17.79,53,54,57,58
53_54_58_59,71.888,0.666,71.844,0.004,0.004,0.002,3.406,2.535,-6.406,53,54,58,59
54_56_49_50,53.819,0.415,53.282,-0.005,0.003,-0.003,-2.615,1.592,-5.265,54,56,49,50
54_56_50_51,27.837,0.411,28.344,-0.009,0.004,-0.009,4.133,1.608,9.87,54,56,50,51
54_56_51_52,3.211,0.29,3.313,-0.009,0.004,-0.006,1.272,1.031,1.644,54,56,51,52
54_56_52_53,-356.81,0.449,-355.562,-0.005,0.003,-0.003,-1.429,1.603,0.159,54,56,52,53
54_56_57_58,36.238,2.039,38.562,-0.005,0.004,-0.003,-3.349,7.759,-4.5,54,56,57,58
