quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
49_50_51_52,-0.589,1.219,-0.812,-0.387,0.028,-0.361,0.014,0.028,0.001,49,50,51,52
49_50_52_53,86.31,0.445,86.282,0.241,0.016,0.253,-0.549,0.041,-0.548,49,50,52,53
49_50_53_54,517.776,10.785,522.969,0.484,0.03,0.505,67.471,4.71,71.301,49,50,53,54
49_50_54_56,-2592.956,164.424,-2659.187,0.311,0.014,0.305,278.789,40.401,290.996,49,50,54,56
49_50_56_57,3.406,0.419,3.407,-0.011,0.013,-0.029,0.104,0.025,0.124,49,50,56,57
49_50_57_58,6.962,0.144,7.062,0.062,0.018,0.049,0.099,0.007,0.138,49,50,57,58
49_50_58_59,68.742,0.06,69.031,0.092,0.007,0.103,0.097,0.005,0.094,49,50,58,59
50_51_52_53,692.846,0.147,692.875,-0.075,0.071,-0.045,-159.995,0.338,-160.073,50,51,52,53
50_51_53_54,363.031,11.264,400.531,0.493,0.055,0.487,23.483,3.537,23.803,50,51,53,54
50_51_54_56,-2951.421,0.008,-2951.406,0.128,0.01,0.131,-57.762,0.738,-57.685,50,51,54,56
50_51_56_57,3.868,0.54,3.969,-0.002,0.059,0.03,-0.048,0.012,-0.048,50,51,56,57
50_51_57_58,10.134,0.144,9.969,0.322,0.031,0.303,-0.168,0.009,-0.16,50,51,57,58
50_51_58_59,68.411,0.523,68.188,0.233,0.006,0.228,0.028,0.037,0.001,50,51,58,59
51_52_49_50,34.365,0.011,34.156,0.0,0.0,0.0,0.019,0.0,0.014,51,52,49,50
51_52_53_54,1202.558,8.982,1162.75,0.001,0.003,0.006,-0.259,0.101,-0.541,51,52,53,54
51_52_54_56,-2951.262,0.002,-2951.313,0.001,0.004,-0.006,-9.465,0.002,-9.468,51,52,54,56
51_52_56_57,3.226,0.376,2.938,0.0,0.0,0.0,-0.008,0.009,-0.003,51,52,56,57
51_52_57_58,11.158,2.715,11.75,0.0,0.0,0.0,-0.102,0.066,-0.116,51,52,57,58
51_52_58_59,68.656,0.404,68.75,0.12,0.148,0.182,0.009,0.004,0.01,51,52,58,59
52_53_49_50,32.736,0.292,32.468,-0.075,0.001,-0.055,-0.532,0.017,-0.502,52,53,49,50
52_53_50_51,-337.106,0.973,-336.875,-0.029,0.011,-0.031,-211.526,0.17,-211.563,52,53,50,51
52_53_54_56,-2951.074,0.031,-2951.031,-0.438,0.03,-0.435,-71.274,1.44,-71.306,52,53,54,56
52_53_56_57,3.904,0.769,3.5,-0.105,0.069,-0.079,-0.083,0.016,-0.089,52,53,56,57
52_53_57_58,8.923,0.383,9.219,0.178,0.026,0.172,0.035,0.011,0.028,52,53,57,58
52_53_58_59,69.457,0.196,69.406,0.126,0.029,0.099,-0.081,0.011,-0.082,52,53,58,59
53_54_49_50,27.414,0.753,27.687,0.002,0.002,0.002,0.2,3.105,-0.193,53,54,49,50
53_54_50_51,-40.613,0.648,-40.094,0.006,0.008,0.004,0.604,2.932,-0.313,53,54,50,51
53_54_51_52,-3.33,1.234,-3.625,0.002,0.002,0.001,-3.59,5.086,-2.169,53,54,51,52
53_54_56_57,2.122,0.693,1.438,0.005,0.004,0.005,2.469,3.003,-0.089,53,54,56,57
53_54_57_58,6.204,0.351,6.031,0.003,0.003,0.002,0.189,1.276,0.919,53,54,57,58
53_54_58_59,66.11,0.054,66.406,0.003,0.004,0.002,9.355,0.133,9.524,53,54,58,59
54_56_49_50,28.04,0.074,28.156,-0.002,0.001,-0.001,11.632,0.238,11.904,54,56,49,50
54_56_50_51,-58.713,0.004,-58.656,-0.005,0.004,-0.004,-1.88,0.189,0.248,54,56,50,51
54_56_51_52,-0.394,0.974,-0.813,-0.008,0.004,-0.007,-3.204,4.496,-5.003,54,56,51,52
54_56_52_53,-392.342,0.629,-392.125,-0.005,0.004,-0.005,-1.147,2.766,-1.712,54,56,52,53
54_56_57_58,6.767,0.399,6.688,-0.004,0.004,-0.002,1.908,1.578,0.573,54,56,57,58
54_56_58_59,66.486,0.092,66.875,-0.007,0.006,-0.007,-1.393,0.347,-1.265,54,56,58,59
56_57_49_50,28.827,0.049,28.718,0.133,0.001,0.126,0.062,0.001,0.034,56,57,49,50
56_57_50_51,-65.399,0.048,-65.688,-0.244,0.037,-0.233,0.032,0.007,0.03,56,57,50,51
