quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
49_52_50_51,-51.98,0.777,-51.906,0.025,0.008,0.022,138.234,1.815,139.413,49,52,50,51
50_51_49_52,63.341,0.621,62.281,0.176,0.008,0.165,91.509,1.631,90.936,50,51,49,52
50_53_51_52,-2.994,0.311,-4.281,0.088,0.124,0.116,-0.023,0.009,-0.062,50,53,51,52
51_52_50_53,-435.162,0.694,-434.312,-0.018,0.237,0.013,-0.008,0.007,-0.005,51,52,50,53
51_54_52_53,-528.69,0.609,-526.094,0.006,0.004,0.004,0.836,2.26,2.06,51,54,52,53
52_53_51_54,4012.286,135.803,7287.625,0.292,0.016,0.252,2245.618,910.246,0.0,52,53,51,54
52_56_53_54,7287.625,0.0,7287.625,0.054,0.011,0.033,-5.602,1.339,0.0,52,56,53,54
53_54_52_56,252.386,0.322,253.062,0.004,0.004,0.004,-2.992,1.558,-0.43,53,54,52,56
53_57_54_56,2347.964,0.214,7287.625,-0.434,0.014,-0.525,427.579,215.214,311.782,53,57,54,56
54_56_53_57,-6.709,0.353,-8.406,-0.007,0.004,-0.007,0.343,1.251,0.804,54,56,53,57
54_58_56_57,-221.702,0.234,-219.906,-0.003,0.002,-0.004,0.697,0.968,-0.577,54,58,56,57
56_57_54_58,3000.019,2028.394,7287.625,0.211,0.019,0.221,648.367,1190.587,0.0,56,57,54,58
56_59_57_58,352.885,0.354,353.844,-1.11,0.085,-1.32,1.387,0.008,1.385,56,59,57,58
57_58_56_59,-460.9,0.552,-461.594,-1.409,0.126,-1.618,1.398,0.011,1.395,57,58,56,59
60_61_62_64,7.484,1.533,6.875,0.005,0.018,0.003,107.736,1.064,98.026,60,61,62,64
62_64_60_61,5.822,1.036,7.25,-0.003,0.005,-0.002,98.99,0.989,98.53,62,64,60,61
