quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
25_28_26_27,-61.702,0.77,-62.219,-0.177,0.145,-0.334,1.435,0.026,1.486,25,28,26,27
26_27_25_28,-26.299,0.882,-26.969,-0.513,0.214,-0.605,1.455,0.027,1.441,26,27,25,28
26_29_27_28,-405.654,0.451,-408.438,-0.619,0.125,-0.818,1.401,0.014,1.415,26,29,27,28
27_28_26_29,-143.954,0.814,-149.219,-0.853,0.209,-0.976,1.417,0.02,1.482,27,28,26,29
27_30_28_29,35.365,0.172,32.187,-1.331,0.095,-1.66,1.356,0.014,1.372,27,30,28,29
28_29_27_30,-117.552,0.538,-124.844,-1.048,0.147,-1.386,1.408,0.014,1.381,28,29,27,30
28_31_29_30,-26.596,0.352,-31.282,-1.297,0.226,-1.481,1.474,0.006,1.468,28,31,29,30
29_30_28_31,-129.759,0.614,-131.406,-1.216,0.261,-1.417,1.507,0.008,1.493,29,30,28,31
29_32_30_31,-114.133,0.317,-117.062,-0.472,0.172,-0.615,1.092,0.008,1.072,29,32,30,31
30_31_29_32,-632.02,0.453,-638.406,-1.196,0.251,-1.489,1.09,0.006,1.1,30,31,29,32
30_33_31_32,-77.513,0.457,-80.969,-0.314,0.09,-0.566,1.751,0.015,1.728,30,33,31,32
31_32_30_33,-683.553,0.748,-688.094,-0.751,0.13,-0.916,1.768,0.018,1.758,31,32,30,33
31_34_32_33,-36.088,0.571,-37.375,-0.674,0.106,-0.842,1.117,0.017,1.192,31,34,32,33
32_33_31_34,-615.837,0.629,-617.5,-0.79,0.054,-0.951,1.043,0.021,1.084,32,33,31,34
60_61_62_64,8.519,1.329,7.157,-0.002,0.003,-0.002,100.331,1.255,97.834,60,61,62,64
62_64_60_61,11.505,1.096,11.282,-0.003,0.002,-0.002,102.673,1.099,103.742,62,64,60,61
