quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
25_26_27_28,-13.251,2.261,-11.968,-0.226,0.109,-0.214,-0.581,0.029,-0.572,25,26,27,28
25_26_28_29,167.141,1.181,167.187,0.448,0.02,0.364,-0.13,0.043,-0.155,25,26,28,29
25_26_29_30,190.998,0.419,190.719,0.055,0.089,-0.017,-0.002,0.014,0.019,25,26,29,30
25_26_30_31,-186.619,0.417,-186.718,-0.2,0.101,-0.253,-0.011,0.005,-0.01,25,26,30,31
25_26_31_32,-41.022,0.473,-41.406,-0.179,0.084,-0.279,-0.018,0.006,-0.02,25,26,31,32
25_26_32_33,-31.382,0.257,-29.781,-0.198,0.084,-0.272,0.007,0.003,0.026,25,26,32,33
25_26_33_34,37.0,0.317,37.532,0.724,0.072,0.527,0.007,0.011,0.016,25,26,33,34
26_27_28_29,174.158,0.423,174.594,-0.037,0.147,0.032,-0.579,0.006,-0.578,26,27,28,29
26_27_29_30,187.958,0.409,188.468,0.692,0.089,0.57,-0.139,0.012,-0.15,26,27,29,30
26_27_30_31,-187.609,2.154,-188.125,0.028,0.169,-0.04,-0.021,0.029,-0.038,26,27,30,31
26_27_31_32,-44.196,0.636,-43.844,0.13,0.152,0.041,-0.014,0.008,0.014,26,27,31,32
26_27_32_33,-23.379,1.849,-23.032,0.159,0.152,0.123,0.011,0.024,0.015,26,27,32,33
26_27_33_34,35.392,0.338,34.718,0.113,0.167,0.058,-0.027,0.004,-0.038,26,27,33,34
27_28_25_26,67.586,2.441,67.718,-0.717,0.198,-0.788,-0.596,0.061,-0.685,27,28,25,26
27_28_29_30,191.345,0.439,191.469,0.05,0.179,0.017,-0.476,0.006,-0.487,27,28,29,30
27_28_30_31,-187.314,0.389,-186.625,0.398,0.161,0.294,-0.09,0.005,-0.089,27,28,30,31
27_28_31_32,-47.573,0.39,-48.344,0.433,0.148,0.313,-0.049,0.005,-0.039,27,28,31,32
27_28_32_33,-13.781,0.406,-15.344,0.441,0.158,0.303,0.004,0.005,0.054,27,28,32,33
27_28_33_34,30.032,0.589,31.625,0.435,0.15,0.383,-0.001,0.008,-0.002,27,28,33,34
28_29_25_26,63.935,0.782,62.281,-1.289,0.193,-1.541,-0.105,0.011,-0.076,28,29,25,26
28_29_26_27,45.36,0.774,45.782,-1.212,0.281,-1.419,-0.558,0.015,-0.488,28,29,26,27
28_29_30_31,-188.163,0.386,-187.562,-1.004,0.115,-1.251,-0.416,0.011,-0.391,28,29,30,31
28_29_31_32,-51.003,0.503,-51.625,-0.87,0.084,-1.037,-0.112,0.006,-0.114,28,29,31,32
28_29_32_33,-2.743,0.459,-4.468,-0.822,0.075,-1.008,-0.025,0.006,-0.01,28,29,32,33
28_29_33_34,26.203,0.935,25.906,-0.779,0.071,-0.891,-0.017,0.013,-0.02,28,29,33,34
29_30_25_26,64.124,0.334,63.781,-0.83,0.396,-0.91,-0.041,0.005,-0.062,29,30,25,26
29_30_26_27,38.389,0.377,38.469,-0.743,0.374,-0.84,-0.111,0.006,-0.13,29,30,26,27
29_30_27_28,14.332,0.466,12.969,-1.186,0.33,-1.234,-0.489,0.009,-0.499,29,30,27,28
29_30_31_32,-52.406,0.366,-52.563,-1.287,0.251,-1.459,-0.58,0.008,-0.568,29,30,31,32
29_30_32_33,5.242,0.329,6.219,-0.144,0.234,-0.305,-0.063,0.005,-0.02,29,30,32,33
