quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
25_26_27_28,109.773,0.835,110.375,-0.919,0.226,-1.576,-0.44,0.013,-0.442,25,26,27,28
25_26_28_29,227.576,1.295,227.562,-0.461,0.138,-0.858,-0.114,0.02,-0.11,25,26,28,29
25_26_29_30,-32.11,0.323,-32.125,-0.381,0.122,-0.748,-0.039,0.005,-0.046,25,26,29,30
25_26_30_31,-109.623,1.039,-110.032,-0.373,0.123,-0.765,-0.012,0.016,-0.038,25,26,30,31
25_26_31_32,-14.966,0.308,-14.969,-0.392,0.124,-0.727,-0.016,0.005,-0.006,25,26,31,32
25_26_32_33,-185.858,1.708,-184.844,-0.368,0.115,-0.69,0.017,0.027,0.024,25,26,32,33
25_26_33_34,-13.508,0.518,-13.75,-0.373,0.117,-0.754,0.001,0.008,0.006,25,26,33,34
26_27_28_29,230.11,0.587,230.187,-1.181,0.286,-1.665,-0.394,0.009,-0.389,26,27,28,29
26_27_29_30,-32.45,0.561,-32.219,0.162,0.131,0.023,-0.097,0.009,-0.092,26,27,29,30
26_27_30_31,-109.262,0.349,-109.281,0.248,0.128,0.079,-0.032,0.006,-0.024,26,27,30,31
26_27_31_32,-15.121,0.331,-15.25,0.273,0.126,0.05,-0.033,0.005,-0.032,26,27,31,32
26_27_32_33,-182.904,0.551,-182.781,0.247,0.129,-0.071,-0.005,0.01,0.002,26,27,32,33
26_27_33_34,-13.909,1.441,-12.625,0.298,0.124,-0.036,0.008,0.024,0.014,26,27,33,34
27_28_25_26,-8.543,0.55,-8.781,-1.674,0.285,-2.353,-0.415,0.01,-0.413,27,28,25,26
27_28_29_30,-29.882,0.195,-29.875,-2.233,0.311,-2.786,-0.4,0.004,-0.38,27,28,29,30
27_28_30_31,-107.629,0.372,-107.312,-0.925,0.148,-1.166,-0.096,0.006,-0.124,27,28,30,31
27_28_31_32,-14.498,0.295,-15.438,-0.779,0.139,-1.058,-0.037,0.005,-0.01,27,28,31,32
27_28_32_33,-179.852,0.472,-179.125,-0.814,0.146,-1.047,-0.006,0.007,-0.01,27,28,32,33
27_28_33_34,-13.748,0.717,-13.656,-0.755,0.145,-1.08,0.003,0.011,0.016,27,28,33,34
28_29_25_26,-9.606,0.437,-9.344,-2.822,0.39,-3.605,-0.1,0.007,-0.091,28,29,25,26
28_29_26_27,55.817,0.327,55.813,-2.352,0.371,-3.056,-0.406,0.004,-0.408,28,29,26,27
28_29_30_31,-105.489,0.15,-104.781,-2.956,0.324,-3.681,-0.369,0.003,-0.393,28,29,30,31
28_29_31_32,-14.638,0.368,-14.406,-1.339,0.131,-1.785,-0.093,0.005,-0.103,28,29,31,32
28_29_32_33,-177.484,0.799,-177.156,-1.237,0.134,-1.706,-0.03,0.012,-0.027,28,29,32,33
28_29_33_34,-13.526,1.612,-12.25,-1.136,0.135,-1.605,-0.027,0.024,-0.038,28,29,33,34
29_30_25_26,-9.556,0.368,-9.344,-4.15,0.61,-5.077,-0.048,0.007,-0.04,29,30,25,26
29_30_26_27,45.846,0.573,45.968,-3.804,0.509,-4.763,-0.093,0.008,-0.093,29,30,26,27
29_30_27_28,69.436,0.334,69.125,-3.395,0.787,-4.132,-0.393,0.002,-0.408,29,30,27,28
29_30_31_32,-12.679,0.389,-12.25,-3.698,0.288,-4.622,-0.462,0.005,-0.474,29,30,31,32
29_30_32_33,-176.193,0.728,-175.562,-1.708,0.146,-2.24,-0.084,0.009,-0.075,29,30,32,33
29_30_33_34,-12.56,0.375,-12.812,-1.6,0.149,-2.125,-0.043,0.005,-0.04,29,30,33,34
30_31_25_26,-9.918,0.51,-9.718,-2.258,0.407,-3.048,-0.016,0.006,-0.016,30,31,25,26
30_31_26_27,38.493,1.341,38.75,-2.207,0.401,-2.917,-0.026,0.016,-0.027,30,31,26,27
30_31_27_28,64.332,0.295,64.437,-1.98,0.413,-2.703,-0.085,0.004,-0.094,30,31,27,28
30_31_28_29,141.892,0.662,142.438,-1.485,0.606,-2.197,-0.352,0.011,-0.358,30,31,28,29
30_31_32_33,-169.533,0.452,-170.218,-2.211,0.343,-2.963,-0.306,0.006,-0.297,30,31,32,33
30_31_33_34,-15.025,0.313,-15.156,-0.298,0.135,-0.652,-0.098,0.004,-0.088,30,31,33,34
31_32_25_26,-11.203,0.523,-11.312,-1.856,0.168,-2.287,0.005,0.01,-0.001,31,32,25,26
31_32_26_27,33.084,0.348,32.468,-2.011,0.207,-2.623,-0.018,0.007,-0.035,31,32,26,27
31_32_27_28,61.02,0.486,60.688,-2.039,0.219,-2.672,-0.05,0.008,-0.046,31,32,27,28
31_32_28_29,137.698,0.381,137.094,-1.877,0.226,-2.55,-0.11,0.007,-0.109,31,32,28,29
31_32_29_30,116.994,0.352,118.344,-1.839,0.403,-2.565,-0.447,0.008,-0.424,31,32,29,30
31_32_33_34,-6.716,0.235,-6.531,-2.058,0.19,-2.665,-0.677,0.004,-0.663,31,32,33,34
