quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
49_50_51_52,0.976,0.588,0.312,0.069,0.039,0.133,0.024,0.017,0.015,49,50,51,52
49_50_52_53,-41.064,0.94,-42.906,-0.049,0.024,-0.071,-0.581,0.034,-0.6,49,50,52,53
49_50_53_54,7183.996,491.662,7287.625,0.411,0.042,0.306,19.576,93.343,0.0,49,50,53,54
49_50_54_56,7287.625,0.0,7287.625,0.153,0.02,0.141,0.234,0.019,0.0,49,50,54,56
49_50_56_57,39.75,0.681,42.219,-0.059,0.018,-0.095,-0.112,0.062,0.16,49,50,56,57
49_50_57_58,32.47,0.571,33.125,-0.032,0.013,-0.067,-0.238,0.047,-0.018,49,50,57,58
49_50_58_59,19.335,0.606,20.281,-0.03,0.013,-0.07,-0.019,0.05,0.042,49,50,58,59
50_51_52_53,693.752,2.651,688.75,-0.073,0.03,-0.085,-220.146,0.201,-221.5,50,51,52,53
50_51_53_54,7287.625,0.0,7287.625,0.35,0.046,0.207,0.0,0.0,0.0,50,51,53,54
50_51_54_56,7285.356,37.131,7287.625,0.063,0.018,0.041,0.556,9.087,0.0,50,51,54,56
50_51_56_57,50.056,1.88,52.718,-0.063,0.021,-0.083,-0.085,0.189,0.059,50,51,56,57
50_51_57_58,35.861,0.78,36.782,-0.015,0.017,-0.039,0.096,0.073,0.074,50,51,57,58
50_51_58_59,23.133,0.523,25.25,-0.005,0.012,-0.033,-0.055,0.048,-0.153,50,51,58,59
51_52_49_50,54.265,0.267,53.468,0.0,0.0,0.0,0.017,0.007,0.05,51,52,49,50
51_52_53_54,7287.625,0.0,7287.625,0.068,0.068,0.017,0.0,0.0,0.0,51,52,53,54
51_52_54_56,7287.625,0.0,7287.625,0.099,0.077,0.182,0.393,0.004,0.0,51,52,54,56
51_52_56_57,56.362,1.758,57.781,-0.087,0.206,-0.129,-0.009,0.019,-0.0,51,52,56,57
51_52_57_58,31.402,0.55,32.0,0.0,0.0,0.0,-0.008,0.013,0.01,51,52,57,58
51_52_58_59,31.454,0.48,32.562,-0.018,0.041,-0.004,0.007,0.005,0.018,51,52,58,59
52_53_49_50,59.474,0.82,59.75,0.041,0.034,-0.01,-0.729,0.064,-0.732,52,53,49,50
52_53_50_51,-348.279,1.535,-349.25,0.05,0.027,-0.003,-293.2,0.719,-291.03,52,53,50,51
52_53_54_56,7287.625,0.0,7287.625,-0.077,0.004,-0.084,5.692,1.415,0.845,52,53,54,56
52_53_56_57,68.474,2.044,67.906,0.064,0.025,0.079,-0.153,0.054,-0.176,52,53,56,57
52_53_57_58,33.979,0.37,36.688,0.215,0.017,0.186,0.001,0.026,-0.02,52,53,57,58
52_53_58_59,31.249,0.627,32.0,0.119,0.026,0.114,-0.005,0.046,-0.111,52,53,58,59
53_54_49_50,58.498,0.751,58.719,-0.0,0.003,-0.004,1.417,2.954,0.845,53,54,49,50
53_54_50_51,54.676,0.413,51.5,-0.002,0.002,-0.001,-0.517,1.409,0.263,53,54,50,51
53_54_51_52,2.54,0.509,2.469,0.0,0.001,0.001,0.857,1.831,0.628,53,54,51,52
53_54_56_57,66.856,0.736,68.844,-0.002,0.001,-0.003,1.963,2.9,9.826,53,54,56,57
53_54_57_58,27.088,0.693,25.625,-0.002,0.002,-0.004,4.855,2.789,-2.274,53,54,57,58
53_54_58_59,36.675,1.195,37.719,-0.001,0.001,-0.004,1.769,5.045,1.328,53,54,58,59
54_56_49_50,65.215,0.41,65.188,-0.011,0.004,-0.011,6.03,1.66,5.574,54,56,49,50
54_56_50_51,24.615,0.354,22.625,-0.002,0.003,0.001,-6.458,1.515,-7.197,54,56,50,51
54_56_51_52,2.437,0.44,3.032,-0.004,0.002,-0.002,0.73,1.412,-0.779,54,56,51,52
