quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
49_52_50_51,-60.688,1.103,-59.781,-0.002,0.011,-0.008,167.118,1.683,164.886,49,52,50,51
50_51_49_52,98.514,1.13,100.156,0.275,0.008,0.264,115.639,4.317,113.755,50,51,49,52
50_53_51_52,-0.027,0.752,0.125,0.061,0.088,-0.137,-0.015,0.01,-0.007,50,53,51,52
51_52_50_53,-339.347,2.231,-339.719,0.021,0.203,0.0,-0.008,0.024,-0.009,51,52,50,53
51_54_52_53,-369.932,0.417,-367.094,0.011,0.007,0.009,6.255,1.793,18.232,51,54,52,53
52_53_51_54,7287.625,0.0,7287.625,0.178,0.014,0.143,0.898,0.117,0.0,52,53,51,54
52_56_53_54,7216.956,322.718,7287.625,0.039,0.011,0.008,32.41,148.775,0.0,52,56,53,54
53_54_52_56,144.303,0.531,144.968,0.006,0.004,0.005,6.85,1.858,14.34,53,54,52,56
53_57_54_56,6033.68,2630.157,7287.625,-0.272,0.007,-0.318,572.612,1240.643,0.0,53,57,54,56
54_56_53_57,109.338,1.632,110.375,-0.007,0.005,-0.006,3.343,6.063,10.276,54,56,53,57
54_58_56_57,-170.077,0.724,-164.969,-0.006,0.004,-0.005,2.02,2.604,0.256,54,58,56,57
56_57_54_58,6982.022,1648.238,7287.625,0.219,0.007,0.202,-80.591,458.38,0.0,56,57,54,58
56_59_57_58,250.205,0.71,249.5,-0.321,0.084,-0.38,1.911,0.01,1.922,56,59,57,58
57_58_56_59,-456.668,2.317,-458.688,-0.792,0.079,-0.933,1.955,0.086,1.953,57,58,56,59
60_61_62_64,13.448,1.183,14.282,-0.006,0.003,-0.003,96.568,1.259,96.238,60,61,62,64
62_64_60_61,13.29,0.914,13.344,-0.005,0.002,-0.005,97.497,0.944,98.396,62,64,60,61
