quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
49_50_51_52,0.986,0.362,2.469,0.034,0.052,0.046,-0.029,0.018,-0.004,49,50,51,52
49_50_52_53,66.482,0.281,66.032,0.096,0.021,0.074,-0.972,0.042,-1.198,49,50,52,53
49_50_53_54,-1243.373,46.95,-1052.188,0.107,0.016,0.084,155.925,22.993,152.731,49,50,53,54
49_50_54_56,-2898.69,118.099,-2947.375,-0.042,0.048,-0.07,-69.719,25.411,26.742,49,50,54,56
49_50_56_57,8.118,0.247,8.282,-0.066,0.012,-0.124,-0.164,0.034,-0.286,49,50,56,57
49_50_57_58,24.646,0.262,24.312,-0.014,0.017,-0.022,-0.085,0.051,0.013,49,50,57,58
49_50_58_59,58.01,0.338,57.875,-0.028,0.014,-0.062,-0.187,0.055,-0.236,49,50,58,59
50_51_52_53,696.09,0.195,696.625,-0.029,0.018,-0.038,-354.96,0.279,-355.926,50,51,52,53
50_51_53_54,-1320.851,68.639,-910.25,0.19,0.022,0.14,1.308,25.911,-1.085,50,51,53,54
50_51_54_56,-2946.723,0.097,-2946.812,0.019,0.031,0.009,89.915,15.444,-90.836,50,51,54,56
50_51_56_57,8.346,0.255,8.188,-0.012,0.022,-0.015,0.181,0.038,-0.028,50,51,56,57
50_51_57_58,24.813,0.408,24.5,0.003,0.045,-0.008,0.138,0.065,0.274,50,51,57,58
50_51_58_59,58.409,0.379,58.438,0.011,0.021,-0.001,0.145,0.065,0.002,50,51,58,59
51_52_49_50,18.894,0.211,19.438,0.0,0.0,0.0,0.705,0.082,0.276,51,52,49,50
51_52_53_54,-1327.242,86.524,-608.75,0.008,0.034,0.038,16.565,5.185,67.941,51,52,53,54
51_52_54_56,-2946.733,0.06,-2946.718,0.004,0.034,-0.004,5.697,2.781,3.473,51,52,54,56
51_52_56_57,7.597,0.222,7.719,0.019,0.018,0.03,0.014,0.008,-0.006,51,52,56,57
51_52_57_58,24.085,0.271,24.219,0.0,0.0,0.0,0.055,0.106,0.617,51,52,57,58
51_52_58_59,57.632,0.381,57.782,0.0,0.0,0.0,-0.043,0.149,0.262,51,52,58,59
52_53_49_50,16.239,0.26,16.437,0.007,0.02,-0.032,-1.243,0.031,-1.16,52,53,49,50
52_53_50_51,-287.97,1.126,-291.688,0.017,0.045,0.003,-497.98,3.312,-495.744,52,53,50,51
52_53_54_56,-5239.451,103.145,-5894.938,-0.142,0.075,-0.19,-143.203,51.892,63.943,52,53,54,56
52_53_56_57,8.306,0.184,8.75,-0.02,0.043,-0.052,-0.377,0.027,-0.352,52,53,56,57
52_53_57_58,26.234,0.253,25.813,0.026,0.051,0.022,-0.349,0.037,-0.44,52,53,57,58
52_53_58_59,58.007,0.35,57.782,0.028,0.067,0.017,-0.09,0.049,0.059,52,53,58,59
53_54_49_50,13.17,0.244,13.438,0.002,0.007,0.002,-3.108,1.947,-4.364,53,54,49,50
53_54_50_51,53.267,0.23,49.906,0.002,0.007,0.004,6.811,2.789,14.449,53,54,50,51
53_54_51_52,-3.463,0.282,-4.469,0.007,0.006,0.005,-5.408,1.788,-7.792,53,54,51,52
53_54_56_57,6.517,0.388,6.312,0.013,0.018,0.003,8.0,3.238,13.822,53,54,56,57
53_54_57_58,24.263,0.445,23.844,0.001,0.011,-0.001,12.969,5.498,5.179,53,54,57,58
53_54_58_59,56.127,0.392,55.625,0.003,0.004,0.003,5.463,2.031,2.058,53,54,58,59
54_56_49_50,12.416,0.242,12.312,-0.003,0.011,-0.008,2.853,1.792,6.883,54,56,49,50
54_56_50_51,14.29,0.304,14.282,-0.015,0.011,-0.006,6.888,2.858,10.392,54,56,50,51
54_56_51_52,-0.485,0.204,-1.0,-0.015,0.013,-0.021,-1.728,2.193,-8.712,54,56,51,52
54_56_52_53,-395.25,0.309,-395.032,-0.007,0.004,-0.004,4.912,2.292,0.454,54,56,52,53
54_56_57_58,26.186,0.289,26.188,-0.003,0.006,-0.002,-1.677,1.357,-4.381,54,56,57,58
54_56_58_59,56.172,0.366,56.0,-0.005,0.002,-0.002,-18.549,2.314,-35.189,54,56,58,59
56_57_49_50,12.568,0.276,12.968,0.057,0.019,0.066,0.058,0.038,0.184,56,57,49,50
56_57_50_51,-1.835,0.307,-1.469,-0.048,0.04,-0.032,-0.105,0.015,-0.153,56,57,50,51
56_57_51_52,0.252,0.986,1.438,-0.052,0.017,-0.089,-0.244,0.137,-0.046,56,57,51,52
56_57_52_53,-387.938,0.405,-388.282,-0.103,0.018,-0.135,-0.522,0.065,-0.413,56,57,52,53
56_57_53_54,-2187.449,97.694,-2479.938,-0.061,0.024,-0.073,-35.746,27.347,-119.298,56,57,53,54
56_57_58_59,58.23,0.216,57.688,0.013,0.02,0.002,-1.089,0.009,-1.1,56,57,58,59
57_58_49_50,12.189,0.394,12.125,-0.143,0.017,-0.144,-0.024,0.016,-0.022,57,58,49,50
57_58_50_51,-11.492,0.238,-11.312,-0.332,0.027,-0.359,-0.193,0.04,-0.404,57,58,50,51
57_58_51_52,-0.001,0.988,-0.062,-0.174,0.05,-0.192,-0.077,0.043,-0.116,57,58,51,52
57_58_52_53,-380.828,0.216,-380.781,-0.232,0.023,-0.258,-0.266,0.03,-0.572,57,58,52,53
57_58_53_54,-1307.368,78.779,-1550.938,-0.125,0.008,-0.148,-2371.04,257.025,-2122.018,57,58,53,54
57_58_54_56,-2946.456,0.064,-2945.969,-0.11,0.017,-0.136,-52.505,12.42,-13.781,57,58,54,56
58_59_49_50,12.184,0.305,12.219,0.089,0.02,0.096,0.034,0.011,0.058,58,59,49,50
58_59_50_51,-16.209,0.293,-16.562,-0.164,0.022,-0.194,-0.025,0.031,-0.199,58,59,50,51
58_59_51_52,1.844,0.581,2.657,-0.385,0.02,-0.434,0.094,0.045,-0.164,58,59,51,52
58_59_52_53,-375.011,0.359,-376.0,-0.199,0.018,-0.252,-0.159,0.038,-0.319,58,59,52,53
58_59_53_54,-1674.047,138.822,-1890.312,0.064,0.009,0.064,56.246,36.983,-77.027,58,59,53,54
58_59_54_56,-2944.525,0.047,-2944.375,-0.002,0.011,-0.022,34.619,13.799,-49.792,58,59,54,56
58_59_56_57,13.362,0.216,12.782,0.056,0.028,0.021,-1.066,0.008,-1.087,58,59,56,57
60_61_62_64,-5.574,0.297,-5.031,0.016,0.072,0.005,207.94,13.876,203.014,60,61,62,64
62_64_60_61,-5.792,0.945,-4.375,-0.004,0.063,-0.001,206.06,13.635,202.101,62,64,60,61
