quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
10_11_1_2,1.43,0.06,1.625,-0.703,0.062,-0.694,0.023,0.0,0.02,10,11,1,2
10_11_2_3,120.558,1.372,120.5,-0.726,0.013,-0.721,0.057,0.052,0.03,10,11,2,3
10_11_3_4,-41.954,2.722,-41.782,-0.549,0.013,-0.553,-0.002,0.16,0.017,10,11,3,4
10_11_4_5,28.431,0.265,28.812,-0.832,0.035,-0.823,0.0,0.005,0.023,10,11,4,5
10_11_5_6,24.176,0.12,24.5,-0.689,0.017,-0.678,-0.06,0.0,-0.023,10,11,5,6
10_11_6_7,-12.689,0.682,-13.0,-0.548,0.014,-0.527,-0.077,0.038,-0.115,10,11,6,7
10_11_7_9,-288.062,0.199,-288.25,-0.26,0.029,-0.236,-0.844,0.01,-0.826,10,11,7,9
1_2_10_11,61.121,0.486,61.063,0.186,0.027,0.186,-0.004,0.007,0.005,1,2,10,11
1_2_3_4,31.019,0.206,31.062,-0.564,0.205,-0.555,-0.174,0.003,-0.17,1,2,3,4
1_2_4_5,-68.889,0.139,-68.781,-0.063,0.086,-0.093,-0.047,0.002,-0.052,1,2,4,5
1_2_5_6,85.553,0.962,85.812,-0.004,0.088,-0.008,-0.027,0.014,-0.023,1,2,5,6
1_2_6_7,-166.67,1.227,-166.656,0.11,0.042,0.12,0.033,0.018,0.032,1,2,6,7
1_2_7_9,61.112,0.445,61.25,0.032,0.074,0.011,-0.027,0.007,-0.027,1,2,7,9
1_2_9_10,-5.435,0.075,-5.688,0.143,0.041,0.137,-0.009,0.001,-0.013,1,2,9,10
2_3_10_11,61.322,0.273,60.969,-0.193,0.09,-0.177,0.06,0.006,0.06,2,3,10,11
2_3_4_5,-68.853,0.145,-69.532,-2.221,0.191,-2.248,-0.27,0.007,-0.263,2,3,4,5
2_3_5_6,83.476,0.689,84.312,-0.9,0.046,-0.921,-0.1,0.011,-0.105,2,3,5,6
2_3_6_7,-162.516,0.231,-162.156,-0.507,0.03,-0.493,-0.026,0.001,-0.024,2,3,6,7
2_3_7_9,60.37,1.193,60.312,-0.413,0.031,-0.424,-0.02,0.02,-0.026,2,3,7,9
2_3_9_10,-6.026,0.161,-5.688,-0.353,0.033,-0.353,-0.03,0.004,-0.022,2,3,9,10
3_4_10_11,60.435,0.436,60.031,-0.361,0.011,-0.375,-0.02,0.007,-0.012,3,4,10,11
3_4_1_2,3.594,0.147,3.125,-1.118,0.102,-1.097,-0.188,0.004,-0.191,3,4,1,2
3_4_5_6,85.351,0.499,85.532,-2.614,0.197,-2.726,-0.427,0.013,-0.436,3,4,5,6
3_4_6_7,-160.822,0.254,-160.563,-1.112,0.053,-1.099,-0.126,0.003,-0.132,3,4,6,7
3_4_7_9,60.414,0.212,59.938,-0.77,0.053,-0.773,-0.047,0.005,-0.049,3,4,7,9
3_4_9_10,-6.134,0.182,-5.688,-0.292,0.017,-0.266,-0.069,0.003,-0.068,3,4,9,10
4_5_10_11,59.736,0.643,59.75,-0.359,0.126,-0.337,-0.036,0.01,-0.03,4,5,10,11
4_5_1_2,1.372,0.938,1.719,-1.952,0.238,-1.957,-0.055,0.013,-0.059,4,5,1,2
4_5_2_3,134.504,1.07,133.719,-1.058,0.136,-1.016,-0.237,0.012,-0.239,4,5,2,3
4_5_6_7,-161.038,0.035,-160.844,-2.372,0.117,-2.385,-0.52,0.003,-0.528,4,5,6,7
4_5_7_9,58.798,0.251,59.562,-1.387,0.057,-1.401,-0.148,0.003,-0.142,4,5,7,9
4_5_9_10,-5.443,0.812,-5.218,-0.703,0.086,-0.671,-0.072,0.012,-0.067,4,5,9,10
5_6_10_11,60.759,0.456,60.594,-0.419,0.112,-0.437,-0.06,0.007,-0.056,5,6,10,11
5_6_1_2,-0.82,0.657,-0.25,-1.924,0.359,-1.898,-0.011,0.012,-0.016,5,6,1,2
5_6_2_3,131.902,2.279,132.594,-1.938,0.38,-1.901,-0.112,0.04,-0.1,5,6,2,3
5_6_3_4,-35.86,0.81,-36.156,-1.043,0.245,-1.024,-0.405,0.011,-0.414,5,6,3,4
5_6_7_9,60.068,0.454,60.031,-2.371,0.331,-2.407,-0.514,0.011,-0.526,5,6,7,9
5_6_9_10,-4.764,0.081,-4.282,-1.009,0.176,-0.996,-0.096,0.001,-0.097,5,6,9,10
60_61_62_64,5.674,1.102,4.484,0.002,0.004,0.005,101.242,0.276,101.504,60,61,62,64
62_64_60_61,13.639,0.79,14.281,-0.007,0.008,-0.015,102.438,0.277,102.209,62,64,60,61
6_7_10_11,60.212,0.658,60.219,-0.539,0.011,-0.553,-0.154,0.013,-0.165,6,7,10,11
6_7_1_2,2.303,0.264,2.938,-1.694,0.213,-1.693,-0.032,0.002,-0.045,6,7,1,2
6_7_2_3,129.529,1.581,129.5,-1.445,0.14,-1.411,-0.01,0.023,-0.004,6,7,2,3
6_7_3_4,-36.762,0.079,-36.812,-1.59,0.157,-1.598,-0.186,0.006,-0.176,6,7,3,4
6_7_4_5,46.358,0.507,46.437,-1.164,0.19,-1.184,-0.537,0.008,-0.543,6,7,4,5
6_7_9_10,-5.37,0.075,-5.031,-1.908,0.216,-1.909,-0.54,0.004,-0.544,6,7,9,10
7_9_10_11,61.61,0.455,61.156,-1.212,0.234,-1.208,-0.906,0.005,-0.919,7,9,10,11
7_9_1_2,1.805,0.076,2.188,-0.918,0.037,-0.917,-0.037,0.006,-0.014,7,9,1,2
7_9_2_3,125.736,0.499,125.938,-1.32,0.267,-1.301,-0.025,0.006,-0.034,7,9,2,3
7_9_3_4,-38.788,0.249,-38.875,-1.544,0.228,-1.549,-0.01,0.003,0.005,7,9,3,4
7_9_4_5,37.596,0.688,36.969,-1.199,0.276,-1.185,-0.118,0.01,-0.126,7,9,4,5
7_9_5_6,23.123,0.902,22.531,-0.728,0.287,-0.72,-0.536,0.011,-0.535,7,9,5,6
9_10_1_2,2.815,0.216,3.125,-1.225,0.074,-1.23,-0.003,0.004,0.001,9,10,1,2
9_10_2_3,123.017,0.552,122.469,-1.301,0.148,-1.309,0.002,0.006,0.012,9,10,2,3
9_10_3_4,-38.37,0.566,-38.688,-0.675,0.017,-0.654,-0.003,0.018,-0.04,9,10,3,4
9_10_4_5,31.819,0.034,31.719,-1.195,0.075,-1.228,-0.018,0.0,-0.017,9,10,4,5
9_10_5_6,22.892,0.496,23.562,-0.978,0.003,-0.97,-0.084,0.012,-0.101,9,10,5,6
9_10_6_7,-4.079,0.493,-4.937,-0.61,0.009,-0.652,-0.555,0.017,-0.55,9,10,6,7
