quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
13_14_15_16,25.832,0.261,26.375,1.077,0.236,0.652,-0.319,0.006,-0.306,13,14,15,16
13_14_16_17,102.438,0.583,102.5,1.395,0.184,1.219,-0.128,0.011,-0.118,13,14,16,17
13_14_17_18,-65.082,0.481,-64.656,1.361,0.178,1.143,-0.032,0.01,-0.034,13,14,17,18
13_14_18_19,-93.752,0.174,-93.718,1.294,0.181,1.117,-0.031,0.004,-0.024,13,14,18,19
13_14_19_20,16.897,0.226,16.718,1.257,0.18,1.082,-0.006,0.006,-0.008,13,14,19,20
13_14_20_21,-70.887,0.17,-71.406,1.196,0.184,1.026,-0.002,0.004,-0.008,13,14,20,21
13_14_21_22,-67.227,0.402,-67.281,1.153,0.189,0.984,-0.025,0.007,-0.016,13,14,21,22
14_15_16_17,102.373,0.473,102.781,-1.317,0.189,-1.823,-0.596,0.009,-0.592,14,15,16,17
14_15_17_18,-65.204,0.418,-66.156,-0.764,0.088,-1.044,-0.12,0.006,-0.066,14,15,17,18
14_15_18_19,-94.115,0.202,-94.562,-0.728,0.084,-0.982,-0.042,0.003,-0.027,14,15,18,19
14_15_19_20,16.777,0.36,16.906,-0.713,0.08,-0.966,-0.022,0.005,-0.02,14,15,19,20
14_15_20_21,-70.2,0.311,-69.906,-0.693,0.084,-0.934,-0.012,0.005,-0.012,14,15,20,21
14_15_21_22,-67.319,0.142,-67.468,-0.665,0.083,-0.942,-0.004,0.002,0.005,14,15,21,22
15_16_13_14,16.182,0.31,16.438,-1.119,0.168,-1.64,-0.324,0.006,-0.312,15,16,13,14
15_16_17_18,-64.455,0.398,-64.75,-1.768,0.178,-2.217,-0.309,0.009,-0.302,15,16,17,18
15_16_18_19,-93.693,0.407,-93.531,-0.929,0.083,-1.128,-0.06,0.008,-0.046,15,16,18,19
15_16_19_20,16.741,0.301,17.375,-0.776,0.083,-0.962,-0.007,0.006,0.046,15,16,19,20
15_16_20_21,-70.219,0.604,-70.656,-0.713,0.082,-0.911,-0.014,0.011,-0.019,15,16,20,21
15_16_21_22,-67.526,0.46,-67.468,-0.693,0.081,-0.991,-0.013,0.009,-0.003,15,16,21,22
16_17_13_14,13.445,0.358,14.562,-1.211,0.314,-1.751,-0.123,0.007,-0.131,16,17,13,14
16_17_14_15,61.52,0.317,62.562,-0.872,0.265,-1.408,-0.624,0.006,-0.632,16,17,14,15
16_17_18_19,-93.584,0.427,-92.969,-1.313,0.25,-1.757,-0.445,0.008,-0.503,16,17,18,19
16_17_19_20,16.931,0.219,17.0,-0.43,0.155,-0.849,-0.13,0.004,-0.126,16,17,19,20
16_17_20_21,-68.985,0.257,-68.406,-0.371,0.149,-0.688,-0.05,0.005,-0.049,16,17,20,21
16_17_21_22,-67.901,0.093,-67.938,-0.327,0.147,-0.679,-0.019,0.002,-0.019,16,17,21,22
17_18_13_14,12.537,0.328,13.157,-0.914,0.381,-1.611,-0.03,0.006,-0.032,17,18,13,14
17_18_14_15,55.472,0.483,56.375,-0.908,0.379,-1.582,-0.122,0.008,-0.16,17,18,14,15
17_18_15_16,29.904,0.482,30.219,-0.712,0.302,-1.239,-0.323,0.007,-0.326,17,18,15,16
17_18_19_20,16.498,0.4,17.001,-0.816,0.299,-1.481,-0.477,0.007,-0.506,17,18,19,20
17_18_20_21,-68.096,0.228,-67.844,-0.026,0.172,-0.358,-0.106,0.003,-0.109,17,18,20,21
17_18_21_22,-68.663,0.246,-68.124,0.032,0.163,-0.245,-0.036,0.004,-0.025,17,18,21,22
18_19_13_14,12.988,0.319,13.438,-1.323,0.268,-2.049,-0.03,0.005,-0.033,18,19,13,14
18_19_14_15,54.501,0.887,53.844,-1.345,0.271,-2.102,-0.018,0.014,0.009,18,19,14,15
