quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
1_4_2_3,34.095,0.445,34.531,-1.55,0.112,-1.918,1.458,0.018,1.438,1,4,2,3
2_3_1_4,66.6,0.323,66.782,-0.636,0.259,-0.502,1.723,0.053,1.672,2,3,1,4
2_5_3_4,-506.624,0.527,-511.375,-0.936,0.258,-1.461,0.962,0.007,0.971,2,5,3,4
3_4_2_5,-171.635,0.829,-175.187,-1.735,0.297,-2.359,0.954,0.016,0.953,3,4,2,5
3_6_4_5,-236.166,0.441,-242.313,-0.685,0.281,-0.85,1.023,0.007,1.042,3,6,4,5
4_5_3_6,-349.928,0.567,-353.688,-0.829,0.324,-1.427,1.059,0.009,1.048,4,5,3,6
4_7_5_6,-34.954,0.47,-40.75,-0.78,0.25,-1.16,1.09,0.004,1.086,4,7,5,6
5_6_4_7,-350.197,2.095,-354.297,-1.252,0.302,-1.506,1.086,0.029,1.085,5,6,4,7
5_9_6_7,-23.632,0.611,-27.438,-1.029,0.205,-1.453,1.29,0.012,1.268,5,9,6,7
60_61_62_64,18.661,1.5,18.688,-0.005,0.013,-0.006,102.239,2.678,103.229,60,61,62,64
62_64_60_61,15.779,1.441,15.032,-0.012,0.04,-0.024,99.756,4.413,100.358,62,64,60,61
6_10_7_9,-65.065,0.534,-69.719,-0.988,0.166,-1.28,1.419,0.011,1.388,6,10,7,9
6_7_5_9,-738.016,0.607,-744.625,-1.314,0.261,-1.788,1.297,0.013,1.289,6,7,5,9
7_11_9_10,-36.838,0.317,-41.125,-1.099,0.11,-1.342,1.432,0.005,1.44,7,11,9,10
7_9_6_10,-668.525,0.63,-671.687,-0.902,0.115,-1.105,1.41,0.009,1.396,7,9,6,10
9_10_7_11,-461.991,0.213,-465.484,-0.76,0.095,-0.884,1.416,0.005,1.436,9,10,7,11
