quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
49_52_50_51,-131.68,2.106,-132.344,-0.032,0.148,-0.033,72.235,0.491,72.261,49,52,50,51
50_51_49_52,-232.873,4.805,-233.031,-0.108,0.09,-0.14,71.474,0.416,71.356,50,51,49,52
50_53_51_52,4.877,0.284,4.812,-0.149,0.065,-0.145,-0.027,0.009,-0.03,50,53,51,52
51_52_50_53,-461.788,0.357,-461.313,0.211,0.019,0.209,0.056,0.004,0.06,51,52,50,53
51_54_52_53,-182.103,2.811,-181.562,0.012,0.001,0.01,16.81,11.609,13.107,51,54,52,53
52_53_51_54,6044.384,963.787,5781.062,0.207,0.017,0.199,-370.981,289.071,-434.92,52,53,51,54
52_56_53_54,7287.625,0.0,7287.625,0.034,0.006,0.016,0.0,0.0,0.0,52,56,53,54
53_54_52_56,320.498,0.622,320.75,0.01,0.003,0.01,7.584,2.488,7.988,53,54,52,56
53_57_54_56,7287.625,0.0,7287.625,-0.171,0.013,-0.168,464.196,28.071,461.85,53,57,54,56
54_56_53_57,184.776,3.297,186.032,-0.007,0.008,-0.01,2.665,12.992,0.38,54,56,53,57
54_58_56_57,-77.846,1.007,-77.968,0.002,0.005,0.005,0.503,3.504,-0.509,54,58,56,57
56_57_54_58,-5284.077,13.889,-5223.875,0.489,0.005,0.492,384.227,97.536,380.754,56,57,54,58
56_59_57_58,221.238,1.678,221.468,-1.83,0.47,-1.815,1.911,0.013,1.92,56,59,57,58
57_58_56_59,-460.224,0.894,-460.656,-1.239,0.136,-1.228,1.934,0.013,1.96,57,58,56,59
60_61_62_64,14.31,0.416,15.313,-0.003,0.004,0.0,103.982,0.197,104.353,60,61,62,64
62_64_60_61,12.154,0.506,12.594,-0.001,0.008,-0.001,103.32,0.451,102.639,62,64,60,61
