quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
36_37_38_39,28.506,0.37,28.625,-0.195,0.134,-0.281,-0.478,0.005,-0.467,36,37,38,39
36_37_39_40,-60.147,0.338,-57.812,-0.015,0.111,-0.193,-0.138,0.004,-0.103,36,37,39,40
36_37_40_42,109.071,0.7,110.938,0.582,0.066,0.397,-0.08,0.023,-0.096,36,37,40,42
36_37_42_43,-0.794,0.316,-1.938,-0.082,0.122,-0.255,-0.002,0.004,0.024,36,37,42,43
36_37_43_44,-14.466,0.627,-13.843,-0.01,0.106,-0.184,-0.016,0.008,-0.034,36,37,43,44
36_37_44_45,-0.502,0.49,-2.218,-0.028,0.109,-0.06,0.03,0.006,0.036,36,37,44,45
36_37_45_46,-60.977,0.565,-61.656,-0.016,0.109,-0.084,-0.022,0.007,-0.028,36,37,45,46
37_38_39_40,-57.709,1.162,-57.906,-0.955,0.119,-1.131,-0.896,0.033,-0.881,37,38,39,40
37_38_40_42,105.878,1.998,107.188,-0.494,0.062,-0.59,-0.137,0.05,-0.153,37,38,40,42
37_38_42_43,1.788,0.508,3.219,-0.668,0.09,-0.785,-0.048,0.007,-0.06,37,38,42,43
37_38_43_44,-10.389,0.401,-10.375,-0.625,0.072,-0.791,-0.019,0.005,-0.002,37,38,43,44
37_38_44_45,-5.732,0.661,-6.25,-0.59,0.09,-0.828,-0.014,0.009,-0.022,37,38,44,45
37_38_45_46,-51.284,0.614,-52.844,-0.579,0.082,-0.755,-0.007,0.007,-0.003,37,38,45,46
38_39_36_37,52.144,1.72,53.281,-0.611,0.213,-0.814,-0.459,0.039,-0.474,38,39,36,37
38_39_40_42,111.455,0.349,113.468,-0.313,0.156,-0.375,-0.409,0.006,-0.364,38,39,40,42
38_39_42_43,-1.224,0.533,-0.532,-0.016,0.122,-0.268,-0.097,0.007,-0.087,38,39,42,43
38_39_43_44,-10.958,0.447,-10.938,0.015,0.113,-0.156,-0.054,0.006,-0.066,38,39,43,44
38_39_44_45,-8.057,0.507,-7.656,0.029,0.104,-0.186,-0.04,0.007,-0.032,38,39,44,45
38_39_45_46,-43.614,0.538,-43.75,0.033,0.106,-0.125,-0.02,0.008,-0.022,38,39,45,46
39_40_36_37,49.226,0.648,49.625,-0.549,0.177,-0.864,-0.176,0.009,-0.212,39,40,36,37
39_40_37_38,74.627,0.454,74.281,-0.64,0.289,-0.817,-0.912,0.008,-0.918,39,40,37,38
39_40_42_43,4.524,1.304,2.375,-0.375,0.117,-0.565,-0.568,0.021,-0.567,39,40,42,43
39_40_43_44,-12.982,1.653,-11.688,-0.143,0.075,-0.308,-0.135,0.023,-0.106,39,40,43,44
39_40_44_45,-6.981,0.591,-4.375,-0.106,0.071,-0.235,-0.076,0.008,-0.084,39,40,44,45
39_40_45_46,-43.664,0.659,-42.906,-0.12,0.072,-0.276,-0.062,0.009,-0.065,39,40,45,46
40_42_36_37,49.918,0.507,50.188,-0.762,0.278,-0.919,-0.031,0.007,-0.006,40,42,36,37
40_42_37_38,71.535,0.417,71.938,-0.729,0.268,-0.864,-0.15,0.007,-0.158,40,42,37,38
40_42_38_39,23.087,0.613,24.5,-1.225,0.19,-1.37,-0.385,0.014,-0.419,40,42,38,39
40_42_43_44,-8.148,2.007,-6.718,-0.528,0.205,-0.737,-0.796,0.031,-0.776,40,42,43,44
40_42_44_45,-7.329,1.634,-9.624,-0.127,0.159,-0.255,-0.108,0.021,-0.076,40,42,44,45
40_42_45_46,-38.599,0.576,-38.687,-0.089,0.153,-0.263,-0.051,0.007,-0.014,40,42,45,46
42_43_36_37,51.924,0.386,51.5,-0.652,0.187,-0.857,-0.01,0.006,-0.009,42,43,36,37
42_43_37_38,69.659,1.608,70.532,-0.675,0.189,-0.954,-0.045,0.023,-0.054,42,43,37,38
42_43_38_39,19.87,0.46,18.688,-0.628,0.194,-0.867,-0.131,0.006,-0.123,42,43,38,39
42_43_39_40,20.317,0.666,20.188,-0.492,0.135,-0.632,-0.576,0.014,-0.581,42,43,39,40
42_43_44_45,5.264,0.912,6.969,-0.594,0.152,-0.812,-0.562,0.013,-0.558,42,43,44,45
42_43_45_46,-34.671,0.624,-36.625,-0.153,0.087,-0.299,-0.114,0.009,-0.106,42,43,45,46
43_44_36_37,54.175,0.483,53.656,-0.883,0.087,-0.995,0.009,0.007,0.042,43,44,36,37
43_44_37_38,71.55,0.792,72.594,-1.194,0.196,-1.485,-0.039,0.012,-0.046,43,44,37,38
43_44_38_39,19.579,0.476,19.344,-1.274,0.236,-1.538,-0.027,0.008,-0.025,43,44,38,39
43_44_39_40,15.329,0.593,14.0,-1.29,0.276,-1.585,-0.17,0.008,-0.159,43,44,39,40
43_44_40_42,93.218,1.764,93.5,-1.366,0.454,-1.334,-0.841,0.03,-0.86,43,44,40,42
43_44_45_46,-9.54,0.615,-7.281,-0.997,0.131,-1.228,-0.566,0.011,-0.562,43,44,45,46
44_45_36_37,53.139,2.221,53.281,-0.732,0.119,-0.895,0.009,0.035,-0.01,44,45,36,37
44_45_37_38,68.597,0.588,68.469,-0.9,0.169,-1.133,-0.015,0.009,-0.01,44,45,37,38
44_45_38_39,18.708,0.398,18.125,-0.841,0.152,-1.035,-0.015,0.006,-0.003,44,45,38,39
44_45_39_40,11.826,0.33,11.938,-0.836,0.156,-1.081,-0.07,0.004,-0.068,44,45,39,40
44_45_40_42,91.795,0.769,91.156,-0.791,0.163,-1.077,-0.119,0.012,-0.116,44,45,40,42
44_45_42_43,26.168,0.329,26.187,-0.532,0.266,-0.607,-0.51,0.008,-0.507,44,45,42,43
45_46_36_37,53.308,0.666,53.281,-0.695,0.089,-0.796,0.01,0.01,0.008,45,46,36,37
45_46_37_38,71.16,0.681,72.312,-0.697,0.061,-0.688,0.032,0.017,0.008,45,46,37,38
45_46_38_39,16.822,0.365,16.906,-0.72,0.058,-0.786,-0.058,0.008,-0.046,45,46,38,39
45_46_39_40,7.82,0.754,7.438,-0.743,0.065,-0.769,-0.008,0.02,-0.012,45,46,39,40
45_46_40_42,92.517,1.083,92.75,-0.728,0.062,-0.761,-0.055,0.027,-0.032,45,46,40,42
45_46_42_43,19.538,0.487,20.562,-0.585,0.055,-0.61,-0.142,0.012,-0.186,45,46,42,43
45_46_43_44,131.966,0.609,130.766,-0.329,0.041,-0.442,-0.612,0.017,-0.626,45,46,43,44
60_61_62_64,15.5,0.798,14.188,-0.002,0.003,-0.003,102.776,0.664,110.066,60,61,62,64
62_64_60_61,16.624,0.882,14.938,-0.009,0.003,-0.006,97.832,0.945,96.566,62,64,60,61
