quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
36_37_38_39,201.767,0.489,202.062,-0.137,0.142,-0.208,-0.352,0.007,-0.368,36,37,38,39
36_37_39_40,-145.728,0.301,-144.812,0.074,0.1,-0.077,-0.106,0.004,-0.108,36,37,39,40
36_37_40_42,13.763,0.359,14.094,0.102,0.097,0.025,-0.054,0.005,-0.047,36,37,40,42
36_37_42_43,87.279,0.337,88.532,0.364,0.02,0.305,-0.035,0.008,0.014,36,37,42,43
36_37_43_44,3.832,0.334,4.719,0.04,0.132,0.093,-0.012,0.004,-0.034,36,37,43,44
36_37_44_45,-138.084,0.409,-138.531,0.132,0.099,0.13,-0.012,0.005,-0.004,36,37,44,45
36_37_45_46,119.665,0.54,120.781,0.376,0.019,0.3,-0.01,0.014,-0.03,36,37,45,46
37_38_39_40,-145.957,0.552,-146.5,-0.797,0.16,-1.055,-0.56,0.011,-0.552,37,38,39,40
37_38_40_42,11.131,0.353,10.625,-0.407,0.11,-0.471,-0.111,0.006,-0.112,37,38,40,42
37_38_42_43,87.044,0.362,86.094,-0.207,0.072,-0.324,-0.051,0.006,-0.045,37,38,42,43
37_38_43_44,2.636,0.415,2.938,-0.228,0.091,-0.283,-0.02,0.007,-0.026,37,38,43,44
37_38_44_45,-142.018,0.357,-142.375,-0.188,0.083,-0.21,-0.021,0.006,-0.032,37,38,44,45
37_38_45_46,123.226,0.189,123.781,-0.134,0.072,-0.192,-0.007,0.003,0.02,37,38,45,46
38_39_36_37,47.411,0.317,48.312,-0.496,0.29,-0.994,-0.343,0.007,-0.333,38,39,36,37
38_39_40_42,12.842,0.247,12.688,-0.661,0.286,-0.943,-0.41,0.005,-0.405,38,39,40,42
38_39_42_43,85.586,0.293,86.187,-0.045,0.172,-0.165,-0.08,0.006,-0.086,38,39,42,43
38_39_43_44,2.264,0.338,2.094,0.018,0.165,-0.113,-0.042,0.006,-0.042,38,39,43,44
38_39_44_45,-143.322,0.339,-143.594,-0.002,0.179,-0.165,-0.025,0.006,-0.048,38,39,44,45
38_39_45_46,128.981,0.514,129.5,-0.006,0.164,-0.167,-0.006,0.009,-0.004,38,39,45,46
39_40_36_37,44.955,0.221,44.656,-1.018,0.294,-1.614,-0.103,0.004,-0.103,39,40,36,37
39_40_37_38,65.826,0.63,66.406,-0.638,0.196,-1.172,-0.588,0.011,-0.568,39,40,37,38
39_40_42_43,89.371,0.216,89.282,-0.91,0.257,-1.421,-0.379,0.005,-0.391,39,40,42,43
39_40_43_44,2.641,0.459,1.906,-0.277,0.101,-0.486,-0.097,0.008,-0.114,39,40,43,44
39_40_44_45,-144.961,0.225,-144.906,-0.213,0.093,-0.461,-0.04,0.004,-0.042,39,40,44,45
39_40_45_46,130.506,0.474,130.906,-0.216,0.096,-0.478,-0.004,0.008,-0.003,39,40,45,46
40_42_36_37,45.067,0.342,44.75,-1.457,0.3,-1.888,-0.047,0.007,-0.039,40,42,36,37
40_42_37_38,59.832,0.431,60.406,-1.4,0.298,-1.835,-0.119,0.009,-0.116,40,42,37,38
40_42_38_39,30.47,0.373,30.125,-1.084,0.242,-1.431,-0.396,0.005,-0.394,40,42,38,39
40_42_43_44,5.87,0.354,6.781,-1.274,0.267,-1.685,-0.658,0.008,-0.632,40,42,43,44
40_42_44_45,-145.447,0.474,-145.844,-0.429,0.122,-0.636,-0.122,0.008,-0.124,40,42,44,45
40_42_45_46,132.644,0.519,132.5,-0.351,0.112,-0.536,-0.029,0.008,-0.018,40,42,45,46
42_43_36_37,47.743,0.623,47.468,-1.068,0.267,-1.574,-0.025,0.011,-0.026,42,43,36,37
42_43_37_38,55.079,0.871,55.438,-1.124,0.275,-1.521,-0.05,0.017,-0.04,42,43,37,38
42_43_38_39,29.479,0.313,30.218,-1.118,0.276,-1.543,-0.082,0.007,-0.078,42,43,38,39
42_43_39_40,-7.35,0.459,-6.812,-0.627,0.198,-1.001,-0.36,0.008,-0.346,42,43,39,40
42_43_44_45,-139.829,0.551,-139.844,-1.119,0.25,-1.56,-0.466,0.012,-0.461,42,43,44,45
42_43_45_46,138.179,0.447,138.406,-0.296,0.1,-0.514,-0.097,0.007,-0.101,42,43,45,46
43_44_36_37,46.919,0.406,47.0,-0.789,0.174,-1.061,-0.019,0.007,-0.01,43,44,36,37
43_44_37_38,54.766,0.308,54.594,-1.232,0.307,-1.717,-0.024,0.005,-0.05,43,44,37,38
43_44_38_39,28.591,0.52,29.094,-1.3,0.316,-1.796,-0.051,0.009,-0.081,43,44,38,39
43_44_39_40,-13.444,0.274,-14.218,-1.336,0.32,-1.777,-0.104,0.007,-0.119,43,44,39,40
43_44_40_42,75.242,0.269,76.156,-0.926,0.236,-1.318,-0.655,0.006,-0.638,43,44,40,42
43_44_45_46,149.095,0.334,150.032,-1.238,0.282,-1.697,-0.434,0.007,-0.43,43,44,45,46
44_45_36_37,46.233,0.262,45.968,-1.018,0.189,-1.444,-0.01,0.006,-0.021,44,45,36,37
44_45_37_38,48.642,0.321,49.063,-1.064,0.227,-1.538,-0.019,0.007,-0.04,44,45,37,38
44_45_38_39,29.286,0.452,28.156,-1.117,0.256,-1.637,-0.019,0.008,-0.033,44,45,38,39
44_45_39_40,-16.953,0.519,-17.219,-1.121,0.264,-1.645,-0.046,0.012,-0.039,44,45,39,40
44_45_40_42,71.978,0.449,72.312,-1.095,0.262,-1.627,-0.126,0.008,-0.13,44,45,40,42
44_45_42_43,21.852,0.433,21.406,-0.859,0.312,-1.273,-0.485,0.008,-0.483,44,45,42,43
45_46_36_37,46.711,0.852,45.968,-1.071,0.124,-1.343,0.035,0.017,0.069,45,46,36,37
45_46_37_38,45.776,0.391,46.062,-0.951,0.088,-1.056,-0.019,0.006,-0.025,45,46,37,38
45_46_38_39,28.341,0.436,27.782,-0.932,0.085,-1.018,0.006,0.008,0.016,45,46,38,39
45_46_39_40,-21.716,0.478,-21.812,-0.886,0.087,-0.985,-0.016,0.009,-0.008,45,46,39,40
45_46_40_42,68.658,0.545,68.75,-0.923,0.09,-1.003,-0.038,0.008,-0.039,45,46,40,42
45_46_42_43,16.117,0.417,15.782,-0.903,0.082,-0.972,-0.09,0.007,-0.09,45,46,42,43
45_46_43_44,89.593,1.017,89.188,-0.545,0.083,-0.773,-0.441,0.018,-0.448,45,46,43,44
60_61_62_64,11.106,2.905,12.5,0.001,0.003,0.004,100.1,3.167,97.9,60,61,62,64
62_64_60_61,12.142,0.91,12.406,0.001,0.005,0.001,99.158,0.905,98.58,62,64,60,61
