quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
36_39_37_38,14.646,0.756,17.0,-0.23,0.041,-0.369,2.256,0.08,2.297,36,39,37,38
37_38_36_39,87.923,0.571,87.969,-0.88,0.301,-1.001,2.195,0.008,2.172,37,38,36,39
37_40_38_39,-284.097,0.674,-285.625,-0.448,0.126,-0.74,1.295,0.017,1.277,37,40,38,39
38_39_37_40,-154.274,1.578,-157.188,-0.673,0.183,-0.887,1.325,0.041,1.314,38,39,37,40
38_42_39_40,-266.977,0.996,-269.032,-0.924,0.193,-1.164,2.02,0.027,1.987,38,42,39,40
39_40_38_42,-376.266,0.329,-381.156,-0.636,0.177,-0.939,2.056,0.011,2.032,39,40,38,42
39_43_40_42,-16.604,0.662,-21.063,-0.768,0.189,-1.054,1.731,0.015,1.736,39,43,40,42
40_42_39_43,-292.933,0.475,-298.0,-1.079,0.195,-1.3,1.714,0.013,1.724,40,42,39,43
40_44_42_43,-66.767,0.465,-72.25,-0.905,0.178,-1.097,1.6,0.009,1.582,40,44,42,43
42_43_40_44,-609.476,0.896,-615.344,-0.885,0.196,-1.247,1.549,0.025,1.548,42,43,40,44
42_45_43_44,18.196,0.361,16.766,-0.695,0.108,-1.082,1.802,0.021,1.874,42,45,43,44
43_44_42_45,-437.607,1.634,-440.782,-0.801,0.131,-1.022,1.941,0.052,1.932,43,44,42,45
43_46_44_45,-5.073,0.504,-9.156,-0.852,0.098,-1.07,1.689,0.017,1.664,43,46,44,45
44_45_43_46,-582.051,0.576,-587.406,-0.701,0.111,-0.938,1.642,0.011,1.636,44,45,43,46
60_61_62_64,16.258,1.818,16.625,-0.005,0.003,-0.006,99.467,1.791,99.607,60,61,62,64
62_64_60_61,14.5,1.324,12.875,-0.004,0.002,-0.004,93.611,1.375,94.824,62,64,60,61
