quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
36_37_38_39,-48.625,0.444,-48.344,-0.57,0.152,-0.569,-0.477,0.017,-0.476,36,37,38,39
36_37_39_40,-180.149,0.508,-180.062,-0.222,0.076,-0.227,-0.108,0.013,-0.111,36,37,39,40
36_37_40_42,190.863,0.031,190.812,-0.262,0.163,-0.247,-0.065,0.001,-0.07,36,37,40,42
36_37_42_43,-21.87,0.008,-21.953,-0.166,0.154,-0.16,0.026,0.0,0.02,36,37,42,43
36_37_43_44,-21.185,0.636,-21.438,-0.086,0.12,-0.033,0.028,0.008,0.028,36,37,43,44
36_37_44_45,-26.016,0.735,-25.281,-0.026,0.114,-0.03,-0.007,0.01,-0.005,36,37,44,45
36_37_45_46,-49.995,0.03,-49.75,-0.039,0.096,-0.01,0.001,0.001,0.003,36,37,45,46
37_38_39_40,-183.279,0.412,-183.156,-1.449,0.178,-1.418,-0.858,0.015,-0.855,37,38,39,40
37_38_40_42,190.574,0.486,190.344,-0.937,0.137,-0.939,-0.152,0.006,-0.151,37,38,40,42
37_38_42_43,-19.613,0.228,-19.75,-0.585,0.058,-0.562,-0.044,0.004,-0.038,37,38,42,43
37_38_43_44,-22.08,0.127,-21.812,-0.465,0.036,-0.452,-0.041,0.001,-0.048,37,38,43,44
37_38_44_45,-26.032,0.131,-26.406,-0.354,0.006,-0.331,-0.015,0.002,-0.02,37,38,44,45
37_38_45_46,-47.204,0.838,-47.313,-0.362,0.028,-0.358,-0.016,0.011,-0.01,37,38,45,46
38_39_36_37,10.942,0.416,11.094,-0.732,0.252,-0.737,-0.428,0.004,-0.429,38,39,36,37
38_39_40_42,188.411,0.359,188.469,-0.945,0.233,-0.939,-0.444,0.005,-0.444,38,39,40,42
38_39_42_43,-18.805,0.435,-18.906,-0.284,0.12,-0.253,-0.102,0.006,-0.112,38,39,42,43
38_39_43_44,-21.193,0.793,-21.062,-0.085,0.045,-0.102,-0.019,0.011,-0.023,38,39,43,44
38_39_44_45,-24.763,0.247,-24.531,-0.012,0.046,-0.075,0.02,0.004,0.02,38,39,44,45
38_39_45_46,-48.481,0.081,-48.718,0.021,0.018,0.012,-0.012,0.001,-0.01,38,39,45,46
39_40_36_37,7.272,0.021,7.344,-0.918,0.224,-0.882,-0.141,0.0,-0.142,39,40,36,37
39_40_37_38,79.452,0.356,78.782,-0.64,0.156,-0.657,-0.79,0.006,-0.787,39,40,37,38
39_40_42_43,-18.812,0.899,-19.375,-0.886,0.173,-0.892,-0.499,0.018,-0.504,39,40,42,43
39_40_43_44,-21.315,0.349,-21.062,-0.256,0.071,-0.289,-0.13,0.005,-0.13,39,40,43,44
39_40_44_45,-26.45,0.54,-26.5,-0.147,0.039,-0.156,-0.051,0.008,-0.053,39,40,44,45
39_40_45_46,-46.058,0.652,-46.281,-0.053,0.017,-0.047,-0.003,0.009,-0.005,39,40,45,46
40_42_36_37,6.031,0.601,5.844,-1.834,0.217,-1.816,-0.052,0.009,-0.05,40,42,36,37
40_42_37_38,73.3,0.027,73.156,-1.828,0.204,-1.81,-0.136,0.002,-0.139,40,42,37,38
40_42_38_39,-1.908,0.761,-1.656,-1.624,0.162,-1.609,-0.426,0.01,-0.421,40,42,38,39
40_42_43_44,-19.18,0.117,-19.0,-1.892,0.199,-1.866,-0.822,0.002,-0.81,40,42,43,44
40_42_44_45,-25.959,0.014,-26.218,-0.982,0.089,-0.973,-0.124,0.001,-0.119,40,42,44,45
40_42_45_46,-46.505,0.163,-46.375,-0.867,0.083,-0.878,-0.02,0.005,-0.009,40,42,45,46
42_43_36_37,5.757,0.172,5.469,-1.371,0.272,-1.368,0.005,0.003,0.004,42,43,36,37
42_43_37_38,70.12,0.53,70.156,-1.501,0.296,-1.532,-0.02,0.006,-0.02,42,43,37,38
42_43_38_39,-11.276,0.243,-11.406,-1.492,0.315,-1.48,-0.098,0.002,-0.102,42,43,38,39
42_43_39_40,2.952,0.542,3.219,-0.792,0.28,-0.787,-0.584,0.005,-0.579,42,43,39,40
42_43_44_45,-25.721,0.318,-25.468,-1.505,0.305,-1.524,-0.584,0.002,-0.581,42,43,44,45
42_43_45_46,-47.046,0.278,-46.844,-0.174,0.062,-0.181,-0.105,0.006,-0.116,42,43,45,46
43_44_36_37,5.959,0.364,5.562,-1.456,0.145,-1.427,-0.008,0.006,-0.007,43,44,36,37
43_44_37_38,68.23,1.901,67.625,-1.577,0.206,-1.548,-0.048,0.026,-0.039,43,44,37,38
43_44_38_39,-10.116,0.184,-10.094,-1.731,0.206,-1.686,0.003,0.001,0.003,43,44,38,39
43_44_39_40,-15.942,0.049,-15.812,-1.612,0.238,-1.618,-0.138,0.0,-0.142,43,44,39,40
43_44_40_42,64.993,0.643,65.094,-0.864,0.143,-0.862,-0.812,0.011,-0.805,43,44,40,42
43_44_45_46,-45.712,1.002,-46.0,-1.557,0.173,-1.543,-0.556,0.018,-0.547,43,44,45,46
44_45_36_37,5.692,0.388,5.656,-1.361,0.233,-1.326,-0.044,0.007,-0.043,44,45,36,37
44_45_37_38,63.435,0.138,63.218,-1.454,0.264,-1.427,0.013,0.003,0.013,44,45,37,38
44_45_38_39,-11.544,0.448,-11.125,-1.576,0.24,-1.562,0.03,0.013,0.033,44,45,38,39
44_45_39_40,-19.238,0.221,-19.375,-1.567,0.187,-1.529,0.044,0.003,0.041,44,45,39,40
44_45_40_42,63.752,0.565,63.969,-1.154,0.18,-1.157,-0.099,0.009,-0.097,44,45,40,42
44_45_42_43,5.757,0.004,5.375,-0.542,0.109,-0.555,-0.556,0.0,-0.56,44,45,42,43
45_46_36_37,5.05,0.2,5.188,-1.355,0.152,-1.316,0.038,0.003,0.039,45,46,36,37
45_46_37_38,61.791,0.293,61.625,-1.171,0.115,-1.125,-0.02,0.004,-0.02,45,46,37,38
45_46_38_39,-12.95,0.294,-13.094,-0.52,0.032,-0.465,0.038,0.011,0.036,45,46,38,39
45_46_39_40,-24.957,0.335,-24.719,-0.633,0.008,-0.66,0.058,0.008,0.062,45,46,39,40
45_46_40_42,63.825,0.144,63.782,-0.999,0.001,-0.986,-0.062,0.004,-0.062,45,46,40,42
45_46_42_43,-1.858,0.047,-1.937,-0.894,0.016,-0.874,-0.096,0.004,-0.111,45,46,42,43
45_46_43_44,97.185,0.45,96.969,-0.439,0.008,-0.473,-0.549,0.013,-0.538,45,46,43,44
60_61_62_64,-8.183,1.981,-8.312,0.001,0.0,0.006,102.351,0.965,101.836,60,61,62,64
62_64_60_61,-8.983,1.126,-8.969,-0.01,0.0,-0.013,103.09,0.52,102.419,62,64,60,61
