quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
49_52_50_51,-42.55,0.293,-41.781,0.016,0.013,0.014,346.338,9.325,349.856,49,52,50,51
50_51_49_52,69.071,1.251,67.718,0.097,0.008,0.098,306.17,4.151,303.683,50,51,49,52
50_53_51_52,1.101,0.311,0.688,-0.029,0.045,-0.085,-0.021,0.023,-0.04,50,53,51,52
51_52_50_53,-349.52,0.334,-350.594,0.0,0.0,0.0,-0.018,0.008,-0.04,51,52,50,53
51_54_52_53,-405.292,0.706,-402.344,0.008,0.005,0.006,-3.733,2.713,-9.658,51,54,52,53
52_53_51_54,7209.055,328.891,7287.625,0.1,0.005,0.099,38.598,162.344,0.0,52,53,51,54
52_56_53_54,7287.625,0.0,7287.625,-0.035,0.006,-0.051,0.0,0.0,0.0,52,56,53,54
53_54_52_56,189.411,0.472,188.375,0.009,0.007,0.006,-0.189,1.802,-9.906,53,54,52,56
53_57_54_56,7287.625,0.0,7287.625,-0.216,0.006,-0.241,0.0,0.0,0.0,53,57,54,56
54_56_53_57,149.733,0.487,150.782,-0.007,0.004,-0.006,-3.009,1.937,-5.734,54,56,53,57
54_58_56_57,-151.44,0.91,-149.031,-0.008,0.006,-0.002,10.241,3.364,18.997,54,58,56,57
56_57_54_58,7268.478,193.01,7287.625,0.11,0.013,0.106,262.113,46.637,0.372,56,57,54,58
56_59_57_58,240.377,0.257,241.062,-0.097,0.01,-0.159,1.632,0.005,1.622,56,59,57,58
57_58_56_59,-519.312,0.819,-523.281,-0.458,0.053,-0.517,1.462,0.052,1.656,57,58,56,59
60_61_62_64,15.588,0.664,14.093,-0.005,0.005,-0.005,98.051,0.67,96.879,60,61,62,64
62_64_60_61,12.9,1.381,14.75,-0.006,0.002,-0.002,103.99,1.454,104.696,62,64,60,61
