quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
49_50_51_52,0.407,0.364,0.782,0.054,0.055,0.145,0.002,0.01,0.012,49,50,51,52
49_50_52_53,46.32,0.394,47.188,0.244,0.036,0.194,-0.589,0.036,-0.558,49,50,52,53
49_50_53_54,7287.625,0.0,7287.625,0.197,0.045,0.154,-0.44,0.054,0.0,49,50,53,54
49_50_54_56,6544.607,2186.829,7287.625,0.082,0.028,0.067,168.512,465.225,0.0,49,50,54,56
49_50_56_57,42.813,1.063,41.375,-0.122,0.042,-0.183,-0.057,0.083,-0.124,49,50,56,57
49_50_57_58,32.995,0.405,31.156,-0.064,0.025,-0.134,0.083,0.03,0.065,49,50,57,58
49_50_58_59,45.106,0.501,45.687,0.002,0.015,-0.022,-0.123,0.046,-0.166,49,50,58,59
50_51_52_53,689.972,3.562,683.688,-0.043,0.04,-0.066,-186.787,0.175,-187.74,50,51,52,53
50_51_53_54,7287.625,0.0,7287.625,0.338,0.039,0.219,-0.08,0.006,0.0,50,51,53,54
50_51_54_56,7287.625,0.0,7287.625,0.062,0.007,0.059,-0.115,0.009,0.0,50,51,54,56
50_51_56_57,53.689,2.278,53.562,-0.056,0.028,-0.093,0.057,0.187,-0.094,50,51,56,57
50_51_57_58,34.247,0.765,34.344,-0.01,0.021,-0.057,0.088,0.059,0.174,50,51,57,58
50_51_58_59,43.382,1.356,44.75,0.02,0.017,-0.016,0.021,0.127,0.117,50,51,58,59
51_52_49_50,41.567,1.931,41.844,0.0,0.0,0.0,-0.276,0.377,-0.33,51,52,49,50
51_52_53_54,7287.625,0.0,7287.625,-0.014,0.076,0.002,0.0,0.0,0.0,51,52,53,54
51_52_54_56,7241.156,316.947,7287.625,0.014,0.058,-0.002,0.549,3.33,0.0,51,52,54,56
51_52_56_57,56.092,0.502,56.469,0.0,0.0,0.0,0.034,0.012,0.007,51,52,56,57
51_52_57_58,32.132,0.447,35.188,0.0,0.0,0.0,-0.042,0.011,-0.046,51,52,57,58
51_52_58_59,47.421,0.457,46.437,-0.053,0.025,-0.189,-0.0,0.005,-0.001,51,52,58,59
52_53_49_50,50.946,0.328,51.875,0.008,0.033,-0.055,-0.665,0.023,-0.662,52,53,49,50
52_53_50_51,-300.085,1.204,-302.75,0.029,0.036,-0.03,-252.77,0.777,-250.755,52,53,50,51
52_53_54_56,7287.625,0.0,7287.625,-0.093,0.005,-0.111,4.071,0.844,0.0,52,53,54,56
52_53_56_57,62.517,0.471,63.968,0.014,0.028,0.026,-0.146,0.01,-0.128,52,53,56,57
52_53_57_58,36.469,0.316,37.156,0.213,0.015,0.182,-0.04,0.02,-0.051,52,53,57,58
52_53_58_59,49.618,0.41,49.437,0.068,0.019,0.05,-0.006,0.03,0.082,52,53,58,59
53_54_49_50,48.823,0.532,48.875,0.005,0.003,0.003,4.166,1.919,6.93,53,54,49,50
53_54_50_51,63.215,0.403,60.969,-0.0,0.003,0.004,-11.66,1.421,-7.417,53,54,50,51
53_54_51_52,1.471,0.409,1.437,0.002,0.003,0.004,-0.341,1.574,-1.529,53,54,51,52
53_54_56_57,59.532,0.434,59.281,-0.001,0.002,-0.002,-5.134,1.684,-5.943,53,54,56,57
53_54_57_58,28.186,0.211,28.156,0.002,0.002,0.001,4.133,0.827,5.237,53,54,57,58
53_54_58_59,50.821,0.48,50.75,0.002,0.002,0.002,10.287,1.81,30.186,53,54,58,59
54_56_49_50,57.485,0.289,57.594,-0.01,0.005,-0.007,-0.706,1.009,2.831,54,56,49,50
54_56_50_51,32.062,0.355,32.187,-0.005,0.004,-0.006,-8.589,1.347,-15.504,54,56,50,51
54_56_51_52,1.481,0.354,1.25,-0.003,0.002,-0.005,-1.531,1.367,-0.367,54,56,51,52
54_56_52_53,-334.199,2.051,-333.532,-0.004,0.002,-0.004,0.951,8.064,0.743,54,56,52,53
54_56_57_58,33.67,0.725,32.656,-0.001,0.002,-0.002,0.061,2.784,-2.141,54,56,57,58
54_56_58_59,58.635,0.313,59.938,-0.002,0.001,-0.002,1.918,1.129,-0.643,54,56,58,59
56_57_49_50,68.998,0.505,69.5,0.08,0.022,0.059,0.044,0.037,-0.057,56,57,49,50
56_57_50_51,25.515,0.983,25.718,-0.109,0.04,-0.086,-0.009,0.024,-0.005,56,57,50,51
56_57_51_52,-2.235,0.341,-2.125,-0.2,0.046,-0.26,-0.043,0.023,-0.079,56,57,51,52
56_57_52_53,-313.097,0.58,-312.156,-0.261,0.052,-0.29,-0.055,0.048,-0.09,56,57,52,53
56_57_53_54,7287.625,0.0,7287.625,-0.074,0.013,-0.076,0.0,0.0,0.0,56,57,53,54
56_57_58_59,78.575,2.805,74.375,-0.024,0.014,-0.056,-0.557,0.061,-0.531,56,57,58,59
57_58_49_50,72.965,2.912,72.594,-0.202,0.049,-0.143,-0.019,0.055,-0.018,57,58,49,50
57_58_50_51,14.708,0.598,13.907,-0.37,0.074,-0.352,-0.011,0.012,-0.022,57,58,50,51
57_58_51_52,-2.527,0.355,-2.594,-0.281,0.071,-0.236,0.0,0.007,-0.011,57,58,51,52
57_58_52_53,-301.876,1.478,-300.062,-0.473,0.045,-0.545,0.211,0.112,-0.008,57,58,52,53
57_58_53_54,7124.269,595.869,7287.625,-0.122,0.013,-0.166,-103.029,374.841,0.0,57,58,53,54
57_58_54_56,7287.625,0.0,7287.625,-0.094,0.013,-0.113,717.416,121.675,0.0,57,58,54,56
58_59_49_50,75.434,0.587,75.219,0.123,0.065,0.267,-0.021,0.007,-0.032,58,59,49,50
58_59_50_51,15.039,0.494,14.75,-0.576,0.039,-0.569,0.104,0.02,0.158,58,59,50,51
58_59_51_52,-2.603,0.43,-2.875,-0.721,0.044,-0.793,0.003,0.022,-0.008,58,59,51,52
58_59_52_53,-285.573,1.301,-284.125,-0.407,0.034,-0.454,0.005,0.068,0.008,58,59,52,53
58_59_53_54,7287.625,0.0,7287.625,0.161,0.012,0.139,-26.708,3.021,0.0,58,59,53,54
58_59_54_56,7287.625,0.0,7287.625,0.142,0.004,0.14,96.78,81.056,-106.565,58,59,54,56
58_59_56_57,29.615,1.692,29.468,0.058,0.063,0.126,-0.529,0.023,-0.546,58,59,56,57
60_61_62_64,10.441,1.067,10.906,0.004,0.034,0.003,102.627,3.355,101.765,60,61,62,64
62_64_60_61,13.642,0.991,13.157,-0.003,0.018,0.001,98.414,0.937,98.531,62,64,60,61
