quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
13_14_15_16,2.686,0.52,2.281,0.857,0.222,0.675,-0.32,0.01,-0.316,13,14,15,16
13_14_16_17,37.769,1.544,37.812,1.227,0.161,1.134,-0.088,0.027,-0.055,13,14,16,17
13_14_17_18,46.797,1.433,47.188,1.222,0.161,1.102,-0.027,0.026,-0.038,13,14,17,18
13_14_18_19,-66.152,0.58,-65.688,1.186,0.177,1.096,-0.025,0.011,-0.044,13,14,18,19
13_14_19_20,17.448,0.216,17.75,1.166,0.171,1.026,0.001,0.003,-0.028,13,14,19,20
13_14_20_21,-34.875,1.95,-33.718,1.161,0.171,1.133,-0.009,0.034,0.012,13,14,20,21
13_14_21_22,-53.789,0.564,-53.875,1.162,0.181,1.112,-0.012,0.009,-0.002,13,14,21,22
14_15_16_17,50.442,0.394,51.781,-1.048,0.144,-1.369,-0.688,0.007,-0.688,14,15,16,17
14_15_17_18,40.749,0.212,40.531,-0.571,0.078,-0.814,-0.098,0.004,-0.093,14,15,17,18
14_15_18_19,-63.168,0.275,-63.437,-0.486,0.074,-0.673,-0.023,0.005,0.021,14,15,18,19
14_15_19_20,17.025,1.589,17.375,-0.448,0.078,-0.669,-0.016,0.029,-0.011,14,15,19,20
14_15_20_21,-32.987,0.194,-32.874,-0.397,0.077,-0.568,-0.02,0.003,-0.047,14,15,20,21
14_15_21_22,-49.094,0.426,-48.531,-0.364,0.075,-0.557,-0.003,0.008,-0.012,14,15,21,22
15_16_13_14,24.69,0.308,23.844,-1.37,0.339,-1.677,-0.339,0.006,-0.397,15,16,13,14
15_16_17_18,45.463,0.947,44.468,-1.171,0.096,-1.179,-0.312,0.019,-0.3,15,16,17,18
15_16_18_19,-62.932,0.964,-63.344,-0.981,0.094,-1.128,-0.074,0.015,-0.064,15,16,18,19
15_16_19_20,18.491,0.462,18.032,-0.94,0.102,-1.055,-0.029,0.007,0.002,15,16,19,20
15_16_20_21,-32.449,0.465,-32.312,-0.962,0.104,-1.117,-0.029,0.006,-0.054,15,16,20,21
15_16_21_22,-44.049,0.494,-44.124,-0.946,0.107,-1.061,-0.032,0.007,-0.067,15,16,21,22
16_17_13_14,24.304,0.882,24.406,-0.407,0.184,-0.611,-0.096,0.013,-0.072,16,17,13,14
16_17_14_15,66.659,0.442,67.532,-0.513,0.18,-0.796,-0.707,0.011,-0.748,16,17,14,15
16_17_18_19,-62.487,0.978,-61.094,-0.556,0.148,-0.698,-0.451,0.024,-0.482,16,17,18,19
16_17_19_20,18.998,0.533,20.562,-0.038,0.14,-0.152,-0.096,0.008,-0.073,16,17,19,20
16_17_20_21,-29.968,2.873,-29.032,-0.014,0.127,-0.122,-0.037,0.04,-0.062,16,17,20,21
16_17_21_22,-42.106,1.989,-41.312,-0.019,0.126,-0.082,-0.025,0.028,-0.051,16,17,21,22
17_18_13_14,25.45,0.556,24.781,-0.508,0.282,-0.801,-0.042,0.012,-0.044,17,18,13,14
17_18_14_15,60.479,0.35,60.031,-0.398,0.274,-0.737,-0.101,0.006,-0.083,17,18,14,15
17_18_15_16,80.69,0.428,80.375,-0.174,0.259,-0.502,-0.309,0.007,-0.303,17,18,15,16
17_18_19_20,19.647,0.364,19.437,-0.322,0.236,-0.677,-0.444,0.006,-0.449,17,18,19,20
17_18_20_21,-31.745,2.37,-31.375,0.294,0.148,0.126,-0.074,0.041,-0.016,17,18,20,21
17_18_21_22,-37.32,0.282,-38.406,0.341,0.144,0.188,-0.022,0.005,-0.03,17,18,21,22
18_19_13_14,27.004,1.001,27.688,-0.976,0.204,-1.436,-0.011,0.018,0.015,18,19,13,14
18_19_14_15,57.68,0.438,57.031,-0.989,0.205,-1.446,-0.037,0.009,-0.028,18,19,14,15
18_19_15_16,74.493,0.598,74.656,-0.997,0.207,-1.504,-0.083,0.012,-0.07,18,19,15,16
18_19_16_17,61.217,0.359,62.0,-0.68,0.159,-1.197,-0.436,0.008,-0.416,18,19,16,17
18_19_20_21,-28.298,0.465,-29.031,-1.019,0.195,-1.438,-0.43,0.01,-0.372,18,19,20,21
18_19_21_22,-34.007,0.323,-33.812,-0.436,0.081,-0.626,-0.111,0.006,-0.104,18,19,21,22
19_20_13_14,27.675,0.311,27.5,-0.972,0.116,-1.11,-0.017,0.005,0.006,19,20,13,14
19_20_14_15,55.872,0.257,55.719,-1.204,0.184,-1.582,-0.02,0.006,-0.028,19,20,14,15
