quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
36_39_37_38,21.876,0.317,22.532,-0.6,0.124,-0.569,2.059,0.006,2.057,36,39,37,38
37_38_36_39,-8.161,0.82,-7.656,-0.688,0.217,-0.658,2.058,0.04,2.031,37,38,36,39
37_40_38_39,-359.63,0.119,-359.968,-0.801,0.081,-0.79,1.31,0.012,1.309,37,40,38,39
38_39_37_40,-180.798,0.459,-179.312,-1.282,0.241,-1.25,1.234,0.004,1.244,38,39,37,40
38_42_39_40,-109.678,0.791,-109.656,-1.921,0.038,-1.922,1.818,0.01,1.828,38,42,39,40
39_40_38_42,-223.158,0.161,-222.718,-1.474,0.211,-1.47,1.832,0.007,1.83,39,40,38,42
39_43_40_42,39.104,1.275,38.938,-1.551,0.075,-1.523,1.751,0.04,1.732,39,43,40,42
40_42_39_43,-157.916,1.62,-157.656,-2.027,0.122,-1.998,1.789,0.021,1.777,40,42,39,43
40_44_42_43,-56.846,2.15,-55.938,-1.587,0.138,-1.586,1.366,0.08,1.375,40,44,42,43
42_43_40_44,-357.913,0.755,-357.718,-1.133,0.227,-1.129,1.43,0.021,1.426,42,43,40,44
42_45_43_44,-3.271,1.109,-2.781,-0.65,0.255,-0.656,1.86,0.001,1.86,42,45,43,44
43_44_42_45,-400.909,0.998,-400.188,-1.103,0.155,-1.117,1.802,0.012,1.788,43,44,42,45
43_46_44_45,-57.192,0.9,-56.687,-0.563,0.162,-0.542,1.731,0.025,1.737,43,46,44,45
44_45_43_46,-362.666,1.427,-362.874,-1.082,0.117,-1.012,1.701,0.033,1.688,44,45,43,46
60_61_62_64,4.401,0.105,5.188,0.014,0.004,0.014,102.114,0.03,101.632,60,61,62,64
62_64_60_61,-6.524,0.131,-7.937,-0.008,0.008,-0.007,103.833,0.381,103.476,62,64,60,61
