quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
13_14_15_16,13.744,0.418,14.094,0.788,0.218,0.413,-0.321,0.009,-0.332,13,14,15,16
13_14_16_17,47.341,0.633,45.594,1.166,0.152,0.997,-0.108,0.011,-0.122,13,14,16,17
13_14_17_18,16.153,0.452,16.063,1.145,0.144,0.996,-0.03,0.008,-0.028,13,14,17,18
13_14_18_19,-74.817,0.546,-74.688,1.148,0.157,1.02,-0.021,0.01,-0.018,13,14,18,19
13_14_19_20,29.674,0.965,30.032,1.111,0.156,0.979,-0.013,0.017,-0.006,13,14,19,20
13_14_20_21,-32.438,0.389,-32.874,1.098,0.169,0.906,-0.016,0.007,-0.024,13,14,20,21
13_14_21_22,-78.95,0.516,-77.782,1.087,0.165,0.951,-0.002,0.009,0.019,13,14,21,22
14_15_16_17,56.322,0.673,56.937,-1.07,0.182,-1.526,-0.647,0.01,-0.682,14,15,16,17
14_15_17_18,13.872,0.378,13.812,-0.582,0.069,-0.784,-0.118,0.006,-0.114,14,15,17,18
14_15_18_19,-73.547,0.554,-74.687,-0.54,0.077,-0.759,-0.044,0.009,-0.034,14,15,18,19
14_15_19_20,27.296,0.361,27.218,-0.5,0.082,-0.714,-0.019,0.006,-0.016,14,15,19,20
14_15_20_21,-33.062,0.966,-33.25,-0.46,0.07,-0.707,0.022,0.016,0.023,14,15,20,21
14_15_21_22,-74.638,0.283,-74.218,-0.459,0.075,-0.645,0.011,0.004,0.001,14,15,21,22
15_16_13_14,14.274,0.64,13.063,-1.019,0.149,-1.372,-0.311,0.012,-0.302,15,16,13,14
15_16_17_18,18.034,0.277,17.469,-1.295,0.158,-1.602,-0.335,0.006,-0.31,15,16,17,18
15_16_18_19,-72.932,0.396,-73.938,-0.775,0.076,-0.806,-0.075,0.008,-0.056,15,16,18,19
15_16_19_20,28.245,0.283,27.875,-0.718,0.073,-0.716,-0.025,0.006,-0.01,15,16,19,20
15_16_20_21,-30.837,0.452,-29.969,-0.701,0.072,-0.792,0.01,0.008,0.027,15,16,20,21
15_16_21_22,-69.863,0.395,-70.094,-0.666,0.074,-0.81,0.003,0.007,0.016,15,16,21,22
16_17_13_14,14.039,0.958,15.125,-0.784,0.219,-1.206,-0.124,0.019,-0.106,16,17,13,14
16_17_14_15,60.022,0.317,59.469,-0.532,0.191,-0.96,-0.642,0.007,-0.642,16,17,14,15
16_17_18_19,-72.792,0.726,-72.156,-0.683,0.182,-0.91,-0.441,0.016,-0.428,16,17,18,19
