a,b,m,n,injection_id,channel_mn,time,current,voltage,polarity
60,61,62,64,1,0,0.636,1.030,99.125,1
60,61,62,64,1,0,0.641,1.023,101.750,1
60,61,62,64,1,0,0.646,1.028,97.250,1
60,61,62,64,1,0,0.651,1.029,110.750,1
60,61,62,64,1,0,0.656,1.024,88.812,1
60,61,62,64,1,0,0.661,1.025,95.188,1
60,61,62,64,1,0,0.666,1.040,102.688,1
60,61,62,64,1,0,0.671,1.020,99.688,1
60,61,62,64,1,0,0.676,1.015,98.000,1
60,61,62,64,1,0,0.681,1.012,102.688,1
60,61,62,64,1,0,0.686,1.044,99.125,1
60,61,62,64,1,0,0.691,1.006,104.562,1
60,61,62,64,1,0,0.696,1.000,99.875,1
60,61,62,64,1,0,0.701,1.023,106.812,1
60,61,62,64,1,0,0.706,1.015,99.875,1
60,61,62,64,1,0,0.711,1.010,95.188,1
60,61,62,64,1,0,0.716,1.028,99.875,1
60,61,62,64,1,0,0.721,1.017,96.313,1
60,61,62,64,1,0,0.726,1.037,95.188,1
60,61,62,64,1,0,0.731,1.029,110.750,1
60,61,62,64,1,0,0.736,1.029,95.750,1
60,61,62,64,1,0,0.741,1.023,94.812,1
60,61,62,64,1,0,0.746,1.021,101.000,1
60,61,62,64,1,0,0.751,1.022,100.250,1
60,61,62,64,1,0,0.756,1.019,95.000,1
60,61,62,64,1,0,0.761,1.019,101.562,1
60,61,62,64,1,0,0.766,1.028,95.188,1
60,61,62,64,1,0,0.771,1.017,104.750,1
60,61,62,64,1,0,0.776,1.027,107.188,1
60,61,62,64,1,0,0.781,1.044,104.750,1
60,61,62,64,1,0,0.786,1.023,94.812,1
60,61,62,64,1,0,0.791,1.023,89.188,1
60,61,62,64,1,0,0.796,1.025,98.562,1
60,61,62,64,1,0,0.801,1.021,105.312,1
60,61,62,64,1,0,0.806,1.031,101.750,1
60,61,62,64,1,0,0.811,1.027,97.625,1
60,61,62,64,1,0,0.816,1.028,117.875,1
60,61,62,64,1,0,0.838,0.241,-4.188,0
60,61,62,64,1,0,0.841,0.241,7.062,0
60,61,62,64,1,0,0.846,0.242,5.188,0
60,61,62,64,1,0,0.851,0.241,11.188,0
60,61,62,64,1,0,0.856,0.241,13.625,0
60,61,62,64,1,0,0.861,0.242,0.312,0
60,61,62,64,1,0,0.866,0.241,7.625,0
60,61,62,64,1,0,0.871,0.242,16.062,0
60,61,62,64,1,0,0.876,0.242,20.375,0
60,61,62,64,1,0,0.881,0.242,6.875,0
60,61,62,64,1,0,0.886,0.242,19.062,0
60,61,62,64,1,0,0.891,0.242,21.688,0
60,61,62,64,1,0,0.896,0.241,10.062,0
60,61,62,64,1,0,0.901,0.242,11.562,0
60,61,62,64,1,0,0.906,0.242,24.500,0
60,61,62,64,1,0,0.911,0.242,24.312,0
